"Ano","Trimestre","UF","Capital","S01015","S01028","S01029","V4010"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2212"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Não","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","1342"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","1342"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2421"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2642"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2161"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2611"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","4110"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","4110"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","1211"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","3334"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2320"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2642"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","3332"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","7522"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim","2310"
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
"2022","1","São Paulo","Município de São Paulo (SP)","Diária, em tempo integral","Sim","Sim",NA
