District;Year;Score;Rank
Vila Sônia;2019;45.65625;60
Água Rasa;2020;46.5625;50
Alto de Pinheiros;2020;62.5;9
Anhangüera;2020;45;61
Aricanduva;2020;47.8125;45
Artur Alvim;2020;42.75;73
Barra Funda;2020;52.375;26
Bela Vista;2020;59.78125;14
Belém;2020;45.59375;58
Bom Retiro;2020;49.5625;40
Brás;2020;32.09375;94
Brasilândia;2020;33.75;91
Butantã;2020;62.9375;8
Cachoeirinha;2020;32.625;93
Cambuci;2020;55.5625;22
Campo Belo;2020;46.21875;54
Campo Grande;2020;47.53125;47
Campo Limpo;2020;44.4375;64
Cangaíba;2020;40.0625;83
Capão Redondo;2020;31.09375;95
Carrão;2020;46.21875;54
Casa Verde;2020;43.96875;67
Cidade Ademar;2020;33;92
Cidade Dutra;2020;44.46875;63
Cidade Líder;2020;41.59375;77
Cidade Tiradentes;2020;52.9375;25
Consolação;2020;66.71875;3
Cursino;2020;45.5;59
Ermelino Matarazzo;2020;48.3125;43
Freguesia do Ó;2020;49.84375;39
Grajaú;2020;39.21875;84
Guaianases;2020;38.40625;85
Iguatemi;2020;34.09375;90
Ipiranga;2020;63.6875;5
Itaim Bibi;2020;64.6875;4
Itaim Paulista;2020;51.84375;31
Itaquera;2020;44.78125;62
Jabaquara;2020;55.21875;23
Jaçanã;2020;41.53125;78
Jaguara;2020;50.8125;36
Jaguaré;2020;57.375;17
Jaraguá;2020;43.28125;68
Jardim Ângela;2020;36.25;88
Jardim Helena;2020;50.375;38
Jardim Paulista;2020;56.03125;21
Jardim São Luís;2020;43.09375;71
José Bonifácio;2020;52.125;29
Lajeado;2020;46.1875;56
Lapa;2020;71.125;2
Liberdade;2020;47.03125;49
Limão;2020;46.34375;53
Mandaqui;2020;56.4375;20
Marsilac;2020;50.5625;37
Moema;2020;60.90625;12
Moóca;2020;59.6875;15
Morumbi;2020;46.53125;52
Parelheiros;2020;38.3125;86
Pari;2020;45.21875;60
Parque do Carmo;2020;43.125;69
Pedreira;2020;40.4375;81
Penha;2020;56.96875;19
Perdizes;2020;61.875;10
Perus;2020;40.96875;79
Pinheiros;2020;63.25;6
Pirituba;2020;46.09375;57
Ponte Rasa;2020;42.25;75
Raposo Tavares;2020;41.625;76
República;2020;60.34375;13
Rio Pequeno;2020;44.125;66
Sacomã;2020;52.1875;28
Santa Cecília;2020;54.875;24
Santana;2020;52.03125;30
Santo Amaro;2020;57.25;18
São Domingos;2020;51.28125;34
São Lucas;2020;51.84375;31
São Mateus;2020;48.34375;42
São Miguel;2020;40.96875;79
São Rafael;2020;43.125;69
Sapopemba;2020;42.625;74
Saúde;2020;61.40625;11
Sé;2020;44.3125;65
Socorro;2020;42.78125;72
Tatuapé;2020;57.96875;16
Tremembé;2020;29.78125;96
Tucuruvi;2020;49.28125;41
Vila Andrade;2020;46.5625;50
Vila Curuçá;2020;51;35
Vila Formosa;2020;48.15625;44
Vila Guilherme;2020;62.96875;7
Vila Jacuí;2020;35.28125;89
Vila Leopoldina;2020;51.84375;31
Vila Maria;2020;37.125;87
Vila Mariana;2020;72.40625;1
Vila Matilde;2020;47.78125;46
Vila Medeiros;2020;40.15625;82
Vila Prudente;2020;47.25;48
Vila Sônia;2020;52.375;26
Água Rasa;2021;51.59375;33
Alto de Pinheiros;2021;60.56666667;9
Anhangüera;2021;41.8125;71
Aricanduva;2021;43.21875;67
Artur Alvim;2021;33.4375;94
Barra Funda;2021;54.3;28
Bela Vista;2021;59.3125;13
Belém;2021;44.5625;65
Bom Retiro;2021;59.21875;15
Brás;2021;33.78125;93
Brasilândia;2021;34.6875;92
Butantã;2021;62.09375;7
Cachoeirinha;2021;45.25;61
Cambuci;2021;57.26666667;20
Campo Belo;2021;43.125;68
Campo Grande;2021;45.71875;57
Campo Limpo;2021;51.34375;35
Cangaíba;2021;40;77
Capão Redondo;2021;36.0625;89
Carrão;2021;46.9375;51
Casa Verde;2021;47.03125;50
Cidade Ademar;2021;35.5;90
Cidade Dutra;2021;39.96875;78
Cidade Líder;2021;47.90625;44
Cidade Tiradentes;2021;55.1875;25
Consolação;2021;57.86666667;19
Cursino;2021;54.75;27
Ermelino Matarazzo;2021;51.5;34
Freguesia do Ó;2021;47.875;48
Grajaú;2021;40.875;73
Guaianases;2021;39.15625;80
Iguatemi;2021;36.53125;86
Ipiranga;2021;64.59375;5
Itaim Bibi;2021;67.9375;1
Itaim Paulista;2021;43.53125;66
Itaquera;2021;37.0625;85
Jabaquara;2021;52.65625;30
Jaçanã;2021;30.84375;96
Jaguara;2021;57.96875;18
Jaguaré;2021;59.625;12
Jaraguá;2021;40.15625;75
Jardim Ângela;2021;38.375;82
Jardim Helena;2021;46.3125;53
Jardim Paulista;2021;59.7;11
Jardim São Luís;2021;47.25;49
José Bonifácio;2021;55.71875;24
Lajeado;2021;46.5;52
Lapa;2021;66.34375;2
Liberdade;2021;59.28125;14
Limão;2021;42.5625;70
Mandaqui;2021;47.90625;44
Marsilac;2021;45.34375;59
Moema;2021;65.28125;4
Moóca;2021;51.1875;37
Morumbi;2021;56.28125;23
Parelheiros;2021;36.1875;88
Pari;2021;44.84375;64
Parque do Carmo;2021;34.84375;91
Pedreira;2021;39.0625;81
Penha;2021;47.90625;44
Perdizes;2021;56.9375;22
Perus;2021;32.28125;95
Pinheiros;2021;59.875;10
Pirituba;2021;51.75;32
Ponte Rasa;2021;40.15625;75
Raposo Tavares;2021;49.84375;40
República;2021;61.16666667;8
Rio Pequeno;2021;51.21875;36
Sacomã;2021;55.09375;26
Santa Cecília;2021;58.71875;17
Santana;2021;45.09375;62
Santo Amaro;2021;63.15625;6
São Domingos;2021;46;54
São Lucas;2021;50.71875;39
São Mateus;2021;45.28125;60
São Miguel;2021;41.25;72
São Rafael;2021;40.28125;74
Sapopemba;2021;39.59375;79
Saúde;2021;57.09375;21
Sé;2021;45.375;58
Socorro;2021;53.15625;29
Tatuapé;2021;47.90625;44
Tremembé;2021;44.9375;63
Tucuruvi;2021;50.96875;38
Vila Andrade;2021;45.78125;56
Vila Curuçá;2021;45.90625;55
Vila Formosa;2021;58.75;16
Vila Guilherme;2021;49.78125;41
Vila Jacuí;2021;37.90625;84
Vila Leopoldina;2021;43.03125;69
Vila Maria;2021;36.375;87
Vila Mariana;2021;66.3125;3
Vila Matilde;2021;48.03125;43
Vila Medeiros;2021;37.96875;83
Vila Prudente;2021;48.9375;42
Vila Sônia;2021;52.53125;31
Água Rasa;2022;51.53125;33
Alto de Pinheiros;2022;57;17
Anhangüera;2022;50.21875;36
Aricanduva;2022;39.53125;81
Artur Alvim;2022;36.28125;93
Barra Funda;2022;53.16666667;26
Bela Vista;2022;59.28125;11
Belém;2022;44.75;62
Bom Retiro;2022;56.625;18
Brás;2022;28.28125;96
Brasilândia;2022;37.40625;86
Butantã;2022;65.96875;5
Cachoeirinha;2022;42.15625;72
Cambuci;2022;58;14
Campo Belo;2022;48.65625;42
Campo Grande;2022;48.53125;43
Campo Limpo;2022;46.40625;55
Cangaíba;2022;42.75;69
Capão Redondo;2022;37.25;88
Carrão;2022;46;56
Casa Verde;2022;47.09375;51
Cidade Ademar;2022;34.625;94
Cidade Dutra;2022;41.40625;74
Cidade Líder;2022;43.46875;65
Cidade Tiradentes;2022;51.125;34
Consolação;2022;52.6;28
Cursino;2022;49.5625;39
Ermelino Matarazzo;2022;49.09375;41
Freguesia do Ó;2022;47.71875;48
Grajaú;2022;44.6875;63
Guaianases;2022;37.15625;90
Iguatemi;2022;37.21875;89
Ipiranga;2022;55.40625;21
Itaim Bibi;2022;69.90625;2
Itaim Paulista;2022;42.71875;70
Itaquera;2022;37.3125;87
Jabaquara;2022;49.59375;38
Jaçanã;2022;37;91
Jaguara;2022;60.03125;10
Jaguaré;2022;55.875;19
Jaraguá;2022;31.34375;95
Jardim Ângela;2022;45.625;59
Jardim Helena;2022;49.28125;40
Jardim Paulista;2022;59.2;12
Jardim São Luís;2022;46.9375;52
José Bonifácio;2022;46.90625;53
Lajeado;2022;52.46875;29
Lapa;2022;67.25;3
Liberdade;2022;57.21875;15
Limão;2022;39.5625;80
Mandaqui;2022;46.5;54
Marsilac;2022;51.09375;35
Moema;2022;67.1875;4
Moóca;2022;55.40625;21
Morumbi;2022;48.21875;44
Parelheiros;2022;40.71875;75
Pari;2022;43.46875;65
Parque do Carmo;2022;39.875;79
Pedreira;2022;39.15625;83
Penha;2022;42.90625;68
Perdizes;2022;63.125;7
Perus;2022;38.15625;85
Pinheiros;2022;64.5;6
Pirituba;2022;47.15625;50
Ponte Rasa;2022;41.78125;73
Raposo Tavares;2022;52.28125;31
República;2022;55.25;23
Rio Pequeno;2022;54.71875;24
Sacomã;2022;49.75;37
Santa Cecília;2022;53.09375;27
Santana;2022;38.25;84
Santo Amaro;2022;61.59375;9
São Domingos;2022;58.15625;13
São Lucas;2022;47.28125;49
São Mateus;2022;40.6875;76
São Miguel;2022;43.5625;64
São Rafael;2022;40.21875;78
Sapopemba;2022;42.34375;71
Saúde;2022;55.59375;20
Sé;2022;40.46875;77
Socorro;2022;52.40625;30
Tatuapé;2022;54.1875;25
Tremembé;2022;43;67
Tucuruvi;2022;52;32
Vila Andrade;2022;44.9375;61
Vila Curuçá;2022;47.8125;45
Vila Formosa;2022;57.21875;15
Vila Guilherme;2022;61.75;8
Vila Jacuí;2022;37;91
Vila Leopoldina;2022;45.0625;60
Vila Maria;2022;39.21875;82
Vila Mariana;2022;70.6875;1
Vila Matilde;2022;47.8125;45
Vila Medeiros;2022;45.71875;58
Vila Prudente;2022;47.78125;47
Vila Sônia;2022;45.84375;57
