PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),avg_teleworkable
3314,"Profissionais de nível médio de serviços estatísticos, matemáticos e afins",0.8
3315,Avaliadores,0.8
3321,Agentes de seguros,1
3322,Representantes comerciais,1
3323,Agentes de compras,1
3324,Corretores de comercialização,1
3331,Despachantes aduaneiros,0
3332,Organizadores de conferências e eventos,0
3333,Agentes de emprego e agenciadores de mão de obra,1
3334,Agentes imobiliários,0.6666666666666666
3339,Agentes de serviços comerciais não classificados anteriormente,0.7142857142857143
3341,Supervisores de secretaria,1
3342,Secretários jurídicos,1
3343,Secretários executivos e administrativos,1
3344,Secretários de medicina,1
3351,Agentes aduaneiros e inspetores de fronteiras,0.3333333333333333
3352,Agentes da administração tributária,0
3353,Agentes de serviços de seguridade social,0
3354,Agentes de serviços de expedição de licenças e permissões,0.3333333333333333
3355,Inspetores de polícia e detetives,0.2
3411,Profissionais de nível médio do direito e serviços legais e afins,0.8333333333333334
3412,Trabalhadores e assistentes sociais de nível médio,0
3421,Atletas e esportistas,1
3422,"Treinadores, instrutores e árbitros de atividades esportivas",0.5
3423,Instrutores de educação física e atividades recreativas,0.5
3431,Fotógrafos,1
3432,Desenhistas e decoradores de interiores,0.6666666666666666
3433,"Técnicos em galerias de arte, museus e bibliotecas",0.5
3434,Chefes de cozinha,0
3435,Outros profissionais de nível médio em atividades culturais e artísticas,0
3511,Técnicos em operações de tecnologia da informação e das comunicações,1
3512,Técnicos em assistência ao usuário de tecnologia da informação e das comunicações,1
3513,Técnicos de redes e sistemas de computadores,1
3521,Técnicos de radiodifusão e gravação audiovisual,0.8
4110,Escriturários gerais,1
4120,Secretários (geral),1
4131,Operadores de máquinas de processamento de texto e mecanógrafos,1
4132,Operadores de entrada de dados,1
4211,Caixas de banco e afins,0
4212,Coletores de apostas e de jogos,0.2
4214,Cobradores e afins,0.5
4221,Trabalhadores de agências de viagem,0
4222,Trabalhadores de centrais de atendimento,0.3333333333333333
4223,Telefonistas,0.5
4224,Recepcionistas de hotéis,0
4225,Trabalhadores dos serviços de informações,1
4227,Entrevistadores de pesquisas de mercado,1
4311,Trabalhadores de contabilidade e cálculo de custos,0.5
