Distritos SP;Ano;trimestre;total_de_profissionais;avg_teleworkable_score;weighted_avg_teleworkable_score
B VISTA;2019;1;94299;0.342;0.357
B VISTA;2019;2;100073;0.435;0.34
B VISTA;2019;3;91803;0.404;0.367
B VISTA;2019;4;97169;0.379;0.408
B VISTA;2020;1;87710;0.345;0.383
B VISTA;2020;2;92137;0.415;0.363
B VISTA;2020;3;85576;0.406;0.39
B VISTA;2020;4;88429;0.389;0.453
B VISTA;2021;1;96024;0.352;0.352
B VISTA;2021;2;90652;0.391;0.403
B VISTA;2021;3;62149;0.42;0.625
B VISTA;2021;4;88890;0.419;0.445
BELEM;2018;1;38996;0.393;0.268
BELEM;2018;2;42997;0.396;0.317
BELEM;2018;3;36248;0.408;0.298
BELEM;2018;4;42372;0.402;0.26
BELEM;2019;1;32337;0.345;0.312
BELEM;2019;2;30001;0.404;0.337
BELEM;2019;3;31060;0.398;0.322
BELEM;2019;4;33941;0.398;0.386
BELEM;2020;1;32207;0.339;0.306
BELEM;2020;2;29520;0.414;0.322
BELEM;2020;3;30323;0.411;0.322
BELEM;2020;4;32871;0.396;0.377
BELEM;2021;1;38291;0.356;0.315
BELEM;2021;2;38453;0.4;0.343
BELEM;2021;3;29618;0.446;0.477
BELEM;2021;4;37436;0.425;0.377
BRAS;2018;1;34882;0.326;0.279
BRAS;2018;2;30441;0.352;0.324
BRAS;2018;3;32859;0.343;0.396
BRAS;2018;4;37173;0.352;0.347
BRAS;2019;1;35358;0.287;0.351
BRAS;2019;2;30572;0.325;0.404
BRAS;2019;3;33463;0.349;0.388
BRAS;2019;4;35111;0.354;0.391
BRAS;2020;1;32866;0.294;0.336
BRAS;2020;2;27926;0.323;0.394
BRAS;2020;3;30874;0.353;0.377
BRAS;2020;4;32338;0.357;0.375
BRAS;2021;1;28674;0.309;0.225
BRAS;2021;2;28776;0.32;0.296
BRAS;2021;3;33271;0.352;0.339
BRAS;2021;4;33871;0.37;0.383
BRASILANDIA;2018;1;5597;0.337;0.294
BRASILANDIA;2018;2;5599;0.335;0.309
BRASILANDIA;2018;3;5170;0.358;0.363
BRASILANDIA;2018;4;5622;0.342;0.33
BRASILANDIA;2019;1;5462;0.328;0.308
BRASILANDIA;2019;2;5380;0.349;0.311
BRASILANDIA;2019;3;5443;0.327;0.303
BRASILANDIA;2019;4;5701;0.364;0.36
BRASILANDIA;2020;1;5232;0.296;0.295
BRASILANDIA;2020;2;5297;0.339;0.289
BRASILANDIA;2020;3;5092;0.307;0.294
BRASILANDIA;2020;4;5395;0.334;0.341
BRASILANDIA;2021;1;6336;0.332;0.25
BRASILANDIA;2021;2;5707;0.325;0.305
BRASILANDIA;2021;3;5860;0.354;0.347
BRASILANDIA;2021;4;5911;0.4;0.353
BUTANTA;2018;1;28684;0.363;0.281
BUTANTA;2018;2;29852;0.39;0.35
BUTANTA;2018;3;27066;0.382;0.318
BUTANTA;2018;4;31313;0.394;0.292
BUTANTA;2019;1;31835;0.307;0.278
BUTANTA;2019;2;30443;0.348;0.29
BUTANTA;2019;3;30291;0.357;0.295
BUTANTA;2019;4;32987;0.357;0.339
BUTANTA;2020;1;30629;0.302;0.289
BUTANTA;2020;2;28579;0.317;0.309
BUTANTA;2020;3;29132;0.354;0.308
BUTANTA;2020;4;31396;0.338;0.355
BUTANTA;2021;1;28184;0.281;0.307
BUTANTA;2021;2;29853;0.304;0.337
BUTANTA;2021;3;24645;0.351;0.416
BUTANTA;2021;4;29004;0.348;0.365
C ADEMAR;2018;1;14864;0.297;0.22
C ADEMAR;2018;2;14807;0.307;0.267
C ADEMAR;2018;3;13443;0.319;0.302
C ADEMAR;2018;4;15094;0.342;0.265
C ADEMAR;2019;1;17343;0.258;0.354
C ADEMAR;2019;2;15008;0.303;0.409
C ADEMAR;2019;3;15543;0.305;0.392
C ADEMAR;2019;4;16736;0.318;0.417
C ADEMAR;2020;1;17552;0.274;0.368
C ADEMAR;2020;2;15000;0.308;0.429
C ADEMAR;2020;3;15776;0.307;0.408
C ADEMAR;2020;4;16909;0.326;0.43
C ADEMAR;2021;1;19890;0.282;0.341
C ADEMAR;2021;2;17634;0.318;0.413
C ADEMAR;2021;3;18224;0.342;0.439
C ADEMAR;2021;4;19423;0.366;0.402
C DUTRA;2018;1;18950;0.325;0.301
C DUTRA;2018;2;18171;0.316;0.342
C DUTRA;2018;3;17537;0.334;0.395
C DUTRA;2018;4;19634;0.359;0.35
C DUTRA;2019;1;17687;0.276;0.332
C DUTRA;2019;2;15498;0.307;0.355
C DUTRA;2019;3;16959;0.308;0.34
C DUTRA;2019;4;17842;0.321;0.377
C DUTRA;2020;1;16346;0.287;0.319
C DUTRA;2020;2;14051;0.337;0.343
C DUTRA;2020;3;15511;0.353;0.332
C DUTRA;2020;4;16308;0.344;0.373
C DUTRA;2021;1;17140;0.265;0.265
C DUTRA;2021;2;16528;0.309;0.315
C DUTRA;2021;3;17142;0.301;0.363
C DUTRA;2021;4;17178;0.329;0.363
C LIDER;2018;1;7646;0.305;0.193
C LIDER;2018;2;7508;0.296;0.25
C LIDER;2018;3;7056;0.33;0.274
C LIDER;2018;4;7582;0.322;0.238
C LIDER;2019;1;6318;0.31;0.243
C LIDER;2019;2;4974;0.348;0.31
C LIDER;2019;3;5840;0.353;0.256
C LIDER;2019;4;6291;0.348;0.32
C LIDER;2020;1;6258;0.295;0.245
C LIDER;2020;2;4859;0.366;0.318
C LIDER;2020;3;5404;0.364;0.274
C LIDER;2020;4;6102;0.36;0.327
C LIDER;2021;1;7298;0.269;0.202
C LIDER;2021;2;6671;0.305;0.262
C LIDER;2021;3;7389;0.333;0.296
C LIDER;2021;4;7330;0.371;0.315
C REDONDO;2018;1;7605;0.28;0.277
C REDONDO;2018;2;7557;0.299;0.321
C REDONDO;2018;3;7318;0.31;0.309
C REDONDO;2018;4;8504;0.316;0.28
C REDONDO;2019;1;7979;0.248;0.272
C REDONDO;2019;2;6820;0.32;0.305
C REDONDO;2019;3;6471;0.287;0.328
C REDONDO;2019;4;7192;0.294;0.39
C REDONDO;2020;1;8101;0.266;0.253
C REDONDO;2020;2;6950;0.307;0.283
C REDONDO;2020;3;6548;0.286;0.304
C REDONDO;2020;4;7269;0.318;0.357
C REDONDO;2021;1;8823;0.262;0.283
C REDONDO;2021;2;8485;0.311;0.318
C REDONDO;2021;3;8277;0.332;0.37
C REDONDO;2021;4;8418;0.317;0.368
C TIRADENTE;2018;1;16906;0.28;0.199
C TIRADENTE;2018;2;17775;0.302;0.339
C TIRADENTE;2018;3;17758;0.335;0.334
C TIRADENTE;2018;4;18280;0.297;0.282
C TIRADENTE;2019;1;19870;0.248;0.165
C TIRADENTE;2019;2;13980;0.323;0.207
C TIRADENTE;2019;3;19834;0.283;0.303
C TIRADENTE;2019;4;21549;0.333;0.384
C TIRADENTE;2020;1;2984;0.26;0.22
C TIRADENTE;2020;2;3436;0.317;0.189
C TIRADENTE;2020;3;2902;0.306;0.223
C TIRADENTE;2020;4;3121;0.341;0.279
C TIRADENTE;2021;1;4097;0.287;0.193
C TIRADENTE;2021;2;3774;0.34;0.256
C TIRADENTE;2021;3;2544;0.396;0.426
C TIRADENTE;2021;4;3408;0.331;0.287
C VERDE;2018;1;27398;0.342;0.35
C VERDE;2018;2;28391;0.354;0.449
C VERDE;2018;3;27269;0.349;0.426
C VERDE;2018;4;29351;0.349;0.387
C VERDE;2019;1;27633;0.27;0.296
C VERDE;2019;2;21693;0.318;0.37
C VERDE;2019;3;26676;0.339;0.365
C VERDE;2019;4;28359;0.342;0.42
C VERDE;2020;1;27645;0.285;0.317
C VERDE;2020;2;21948;0.33;0.388
C VERDE;2020;3;26615;0.357;0.386
C VERDE;2020;4;28551;0.362;0.441
C VERDE;2021;1;27383;0.29;0.349
C VERDE;2021;2;28753;0.321;0.38
C VERDE;2021;3;27180;0.343;0.474
C VERDE;2021;4;28316;0.341;0.442
CAMBUCI;2018;1;33237;0.396;0.324
CAMBUCI;2018;2;36384;0.396;0.372
CAMBUCI;2018;3;32735;0.406;0.365
CAMBUCI;2018;4;26303;0.414;0.294
CAMBUCI;2019;1;21970;0.333;0.328
CAMBUCI;2019;2;19640;0.405;0.355
CAMBUCI;2019;3;21295;0.381;0.326
CAMBUCI;2019;4;22329;0.401;0.373
CAMBUCI;2020;1;20663;0.336;0.33
CAMBUCI;2020;2;18806;0.398;0.347
CAMBUCI;2020;3;20117;0.398;0.326
CAMBUCI;2020;4;20752;0.406;0.368
CAMBUCI;2021;1;31939;0.372;0.301
CAMBUCI;2021;2;21953;0.404;0.36
CAMBUCI;2021;3;19552;0.417;0.427
CAMBUCI;2021;4;31329;0.429;0.395
CANGAIBA;2018;1;12651;0.3;0.194
CANGAIBA;2018;2;12284;0.314;0.233
CANGAIBA;2018;3;11855;0.322;0.271
CANGAIBA;2018;4;13052;0.305;0.225
CANGAIBA;2019;1;10409;0.265;0.242
CANGAIBA;2019;2;7264;0.326;0.339
CANGAIBA;2019;3;9533;0.313;0.259
CANGAIBA;2019;4;10044;0.281;0.273
CANGAIBA;2020;1;9874;0.262;0.229
CANGAIBA;2020;2;6878;0.364;0.321
CANGAIBA;2020;3;9012;0.335;0.248
CANGAIBA;2020;4;9519;0.298;0.261
CANGAIBA;2021;1;10240;0.276;0.16
CANGAIBA;2021;2;9256;0.297;0.205
CANGAIBA;2021;3;10561;0.313;0.237
CANGAIBA;2021;4;10144;0.369;0.273
CARRAO;2018;1;13427;0.294;0.219
CARRAO;2018;2;13717;0.304;0.285
CARRAO;2018;3;12174;0.332;0.29
CARRAO;2018;4;14175;0.321;0.248
CARRAO;2019;1;13353;0.276;0.245
CARRAO;2019;2;10734;0.338;0.306
CARRAO;2019;3;12018;0.326;0.259
CARRAO;2019;4;13171;0.327;0.323
CARRAO;2020;1;12907;0.267;0.255
CARRAO;2020;2;10110;0.335;0.326
CARRAO;2020;3;11527;0.334;0.27
CARRAO;2020;4;12767;0.336;0.338
CARRAO;2021;1;15173;0.265;0.239
CARRAO;2021;2;16532;0.294;0.253
CARRAO;2021;3;14046;0.316;0.341
CARRAO;2021;4;15012;0.338;0.327
CONSOLACAO;2018;1;84161;0.397;0.282
CONSOLACAO;2018;2;98810;0.42;0.34
CONSOLACAO;2018;3;77391;0.411;0.33
CONSOLACAO;2018;4;91190;0.399;0.277
CONSOLACAO;2019;1;77474;0.338;0.311
CONSOLACAO;2019;2;79910;0.386;0.307
CONSOLACAO;2019;3;77713;0.406;0.324
CONSOLACAO;2019;4;85238;0.373;0.405
CONSOLACAO;2020;1;76740;0.35;0.298
CONSOLACAO;2020;2;78664;0.398;0.299
CONSOLACAO;2020;3;77038;0.404;0.315
CONSOLACAO;2020;4;83759;0.399;0.387
CONSOLACAO;2021;1;85813;0.366;0.326
CONSOLACAO;2021;2;94172;0.376;0.307
CONSOLACAO;2021;3;54197;0.42;0.608
CONSOLACAO;2021;4;85082;0.425;0.354
CPO BELO;2018;1;21453;0.32;0.35
CPO BELO;2018;2;24704;0.334;0.396
CPO BELO;2018;3;20032;0.332;0.399
CPO BELO;2018;4;26226;0.331;0.305
CPO BELO;2019;1;22090;0.293;0.323
CPO BELO;2019;2;19622;0.361;0.385
CPO BELO;2019;3;19301;0.368;0.379
CPO BELO;2019;4;21006;0.365;0.432
CPO BELO;2020;1;21741;0.298;0.316
CPO BELO;2020;2;19308;0.357;0.376
CPO BELO;2020;3;18934;0.38;0.37
CPO BELO;2020;4;20875;0.384;0.423
CPO BELO;2021;1;21173;0.319;0.358
CPO BELO;2021;2;23646;0.341;0.374
CPO BELO;2021;3;21058;0.366;0.453
CPO BELO;2021;4;22128;0.381;0.43
CPO GRANDE;2018;1;23349;0.34;0.229
CPO GRANDE;2018;2;24190;0.343;0.29
CPO GRANDE;2018;3;22113;0.33;0.277
CPO GRANDE;2018;4;25272;0.352;0.236
CPO GRANDE;2019;1;25377;0.248;0.239
CPO GRANDE;2019;2;17933;0.303;0.349
CPO GRANDE;2019;3;23499;0.311;0.263
CPO GRANDE;2019;4;24664;0.296;0.296
CPO GRANDE;2020;1;25600;0.244;0.231
CPO GRANDE;2020;2;17509;0.293;0.347
CPO GRANDE;2020;3;23402;0.301;0.256
CPO GRANDE;2020;4;24984;0.315;0.286
CPO GRANDE;2021;1;25572;0.287;0.218
CPO GRANDE;2021;2;25000;0.303;0.256
CPO GRANDE;2021;3;24301;0.332;0.29
CPO GRANDE;2021;4;24692;0.354;0.281
CPO LIMPO;2018;1;10450;0.328;0.298
CPO LIMPO;2018;2;10273;0.326;0.333
CPO LIMPO;2018;3;9116;0.351;0.384
CPO LIMPO;2018;4;10416;0.376;0.352
CPO LIMPO;2019;1;10293;0.278;0.32
CPO LIMPO;2019;2;9609;0.322;0.321
CPO LIMPO;2019;3;9250;0.315;0.342
CPO LIMPO;2019;4;10012;0.336;0.405
CPO LIMPO;2020;1;9442;0.259;0.302
CPO LIMPO;2020;2;8761;0.314;0.305
CPO LIMPO;2020;3;8444;0.301;0.322
CPO LIMPO;2020;4;9145;0.321;0.381
CPO LIMPO;2021;1;9847;0.27;0.242
CPO LIMPO;2021;2;8816;0.331;0.306
CPO LIMPO;2021;3;8761;0.334;0.367
CPO LIMPO;2021;4;9253;0.353;0.353
CURSINO;2018;1;21944;0.34;0.311
CURSINO;2018;2;22028;0.309;0.355
CURSINO;2018;3;20471;0.32;0.396
CURSINO;2018;4;23215;0.348;0.346
CURSINO;2019;1;21237;0.29;0.339
CURSINO;2019;2;19522;0.328;0.362
CURSINO;2019;3;19606;0.336;0.356
CURSINO;2019;4;22249;0.337;0.392
CURSINO;2020;1;20637;0.27;0.34
CURSINO;2020;2;19141;0.343;0.354
CURSINO;2020;3;19162;0.318;0.349
CURSINO;2020;4;21639;0.321;0.387
CURSINO;2021;1;22676;0.288;0.314
CURSINO;2021;2;23152;0.312;0.338
CURSINO;2021;3;20552;0.342;0.436
CURSINO;2021;4;23379;0.354;0.404
E MATARAZZO;2018;1;20755;0.321;0.515
E MATARAZZO;2018;2;14990;0.325;0.393
E MATARAZZO;2018;3;14164;0.347;0.428
E MATARAZZO;2018;4;21251;0.339;0.409
E MATARAZZO;2019;1;15492;0.27;0.394
E MATARAZZO;2019;2;14431;0.355;0.437
E MATARAZZO;2019;3;14682;0.317;0.422
E MATARAZZO;2019;4;15735;0.346;0.432
E MATARAZZO;2020;1;19846;0.284;0.434
E MATARAZZO;2020;2;17693;0.366;0.483
E MATARAZZO;2020;3;18700;0.33;0.456
E MATARAZZO;2020;4;21607;0.362;0.529
E MATARAZZO;2021;1;26433;0.354;0.479
E MATARAZZO;2021;2;26347;0.377;0.531
E MATARAZZO;2021;3;25242;0.419;0.563
E MATARAZZO;2021;4;27712;0.429;0.55
FREGUESIA D;2018;1;12516;0.305;0.29
FREGUESIA D;2018;2;13096;0.331;0.369
FREGUESIA D;2018;3;11437;0.311;0.349
FREGUESIA D;2018;4;14767;0.332;0.276
FREGUESIA D;2019;1;12876;0.267;0.265
FREGUESIA D;2019;2;9822;0.305;0.331
FREGUESIA D;2019;3;11389;0.322;0.296
FREGUESIA D;2019;4;13113;0.33;0.374
FREGUESIA D;2020;1;13308;0.271;0.235
FREGUESIA D;2020;2;11542;0.297;0.255
FREGUESIA D;2020;3;12241;0.325;0.252
FREGUESIA D;2020;4;13480;0.32;0.316
FREGUESIA D;2021;1;15420;0.27;0.208
FREGUESIA D;2021;2;15100;0.279;0.252
FREGUESIA D;2021;3;12832;0.326;0.33
FREGUESIA D;2021;4;14689;0.321;0.276
GRAJAU;2018;1;11082;0.305;0.2
GRAJAU;2018;2;10955;0.298;0.227
GRAJAU;2018;3;9298;0.314;0.281
GRAJAU;2018;4;11062;0.312;0.237
GRAJAU;2019;1;10560;0.264;0.232
GRAJAU;2019;2;8059;0.333;0.286
GRAJAU;2019;3;9052;0.296;0.263
GRAJAU;2019;4;10383;0.307;0.281
GRAJAU;2020;1;10530;0.304;0.221
GRAJAU;2020;2;7855;0.326;0.278
GRAJAU;2020;3;8873;0.312;0.255
GRAJAU;2020;4;10344;0.359;0.263
GRAJAU;2021;1;11015;0.248;0.151
GRAJAU;2021;2;9927;0.278;0.197
GRAJAU;2021;3;9017;0.287;0.28
GRAJAU;2021;4;9624;0.321;0.282
GUAIANAZES;2018;1;4776;0.318;0.297
GUAIANAZES;2018;2;4450;0.344;0.314
GUAIANAZES;2018;3;4055;0.384;0.431
GUAIANAZES;2018;4;4461;0.34;0.39
GUAIANAZES;2019;1;4607;0.269;0.382
GUAIANAZES;2019;2;4569;0.365;0.4
GUAIANAZES;2019;3;4196;0.332;0.406
GUAIANAZES;2019;4;4747;0.328;0.44
GUAIANAZES;2020;1;4220;0.268;0.377
GUAIANAZES;2020;2;4092;0.354;0.393
GUAIANAZES;2020;3;3779;0.314;0.402
GUAIANAZES;2020;4;4340;0.319;0.435
GUAIANAZES;2021;1;4491;0.296;0.308
GUAIANAZES;2021;2;4112;0.353;0.36
GUAIANAZES;2021;3;4320;0.395;0.433
GUAIANAZES;2021;4;4306;0.351;0.456
IGUATEMI;2018;1;2599;0.279;0.164
IGUATEMI;2018;2;2685;0.31;0.212
IGUATEMI;2018;3;2580;0.316;0.236
IGUATEMI;2018;4;2857;0.294;0.189
IGUATEMI;2019;1;2772;0.203;0.197
IGUATEMI;2019;2;2001;0.255;0.285
IGUATEMI;2019;3;2526;0.196;0.214
IGUATEMI;2019;4;2665;0.24;0.235
IGUATEMI;2020;1;3056;0.247;0.191
IGUATEMI;2020;2;2171;0.298;0.284
IGUATEMI;2020;3;2778;0.265;0.212
IGUATEMI;2020;4;2939;0.298;0.233
IGUATEMI;2021;1;3597;0.221;0.149
IGUATEMI;2021;2;3227;0.335;0.203
IGUATEMI;2021;3;3584;0.331;0.214
IGUATEMI;2021;4;3475;0.319;0.229
IPIRANGA;2018;1;50034;0.3;0.232
IPIRANGA;2018;2;53857;0.307;0.292
IPIRANGA;2018;3;46416;0.3;0.28
IPIRANGA;2018;4;54202;0.311;0.232
IPIRANGA;2019;1;50121;0.267;0.261
IPIRANGA;2019;2;43245;0.312;0.306
IPIRANGA;2019;3;48182;0.301;0.269
IPIRANGA;2019;4;50637;0.318;0.326
IPIRANGA;2020;1;49730;0.27;0.248
IPIRANGA;2020;2;42704;0.314;0.292
IPIRANGA;2020;3;47661;0.327;0.255
IPIRANGA;2020;4;50231;0.324;0.313
IPIRANGA;2021;1;53764;0.274;0.247
IPIRANGA;2021;2;52222;0.305;0.293
IPIRANGA;2021;3;47024;0.34;0.355
IPIRANGA;2021;4;51233;0.358;0.319
ITAIM BIBI;2018;1;172718;0.387;0.49
ITAIM BIBI;2018;2;184929;0.391;0.551
ITAIM BIBI;2018;3;171077;0.38;0.498
ITAIM BIBI;2018;4;188571;0.391;0.46
ITAIM BIBI;2019;1;195131;0.281;0.488
ITAIM BIBI;2019;2;183990;0.336;0.524
ITAIM BIBI;2019;3;183349;0.337;0.543
ITAIM BIBI;2019;4;203326;0.329;0.548
ITAIM BIBI;2020;1;198642;0.284;0.494
ITAIM BIBI;2020;2;186648;0.329;0.535
ITAIM BIBI;2020;3;186752;0.334;0.549
ITAIM BIBI;2020;4;206672;0.335;0.547
ITAIM BIBI;2021;1;197594;0.347;0.52
ITAIM BIBI;2021;2;212450;0.372;0.53
ITAIM BIBI;2021;3;195617;0.4;0.572
ITAIM BIBI;2021;4;226982;0.412;0.544
ITAIM PAULI;2018;1;9484;0.297;0.27
ITAIM PAULI;2018;2;9176;0.347;0.318
ITAIM PAULI;2018;3;7345;0.338;0.384
ITAIM PAULI;2018;4;8674;0.316;0.336
ITAIM PAULI;2019;1;8029;0.271;0.331
ITAIM PAULI;2019;2;7689;0.332;0.318
ITAIM PAULI;2019;3;7627;0.291;0.33
ITAIM PAULI;2019;4;8335;0.351;0.411
ITAIM PAULI;2020;1;8868;0.265;0.287
ITAIM PAULI;2020;2;8486;0.364;0.284
ITAIM PAULI;2020;3;8333;0.327;0.295
ITAIM PAULI;2020;4;9043;0.34;0.364
ITAIM PAULI;2021;1;11677;0.301;0.233
ITAIM PAULI;2021;2;10902;0.316;0.293
ITAIM PAULI;2021;3;8396;0.347;0.439
ITAIM PAULI;2021;4;10547;0.355;0.327
ITAQUERA;2018;1;14403;0.345;0.313
ITAQUERA;2018;2;15489;0.345;0.342
ITAQUERA;2018;3;13644;0.364;0.365
ITAQUERA;2018;4;15159;0.343;0.317
ITAQUERA;2019;1;16299;0.35;0.315
ITAQUERA;2019;2;15128;0.424;0.385
ITAQUERA;2019;3;15637;0.435;0.371
ITAQUERA;2019;4;16653;0.427;0.383
ITAQUERA;2020;1;15575;0.339;0.307
ITAQUERA;2020;2;14542;0.395;0.371
ITAQUERA;2020;3;14911;0.423;0.37
ITAQUERA;2020;4;15753;0.423;0.368
ITAQUERA;2021;1;16544;0.383;0.375
ITAQUERA;2021;2;15330;0.386;0.387
ITAQUERA;2021;3;15484;0.431;0.467
ITAQUERA;2021;4;16581;0.43;0.45
J BONIFACIO;2018;1;9863;0.325;0.177
J BONIFACIO;2018;2;10063;0.307;0.222
J BONIFACIO;2018;3;9472;0.332;0.211
J BONIFACIO;2018;4;11248;0.309;0.166
J BONIFACIO;2019;1;11716;0.261;0.182
J BONIFACIO;2019;2;5473;0.323;0.385
J BONIFACIO;2019;3;10417;0.304;0.194
J BONIFACIO;2019;4;10678;0.321;0.234
J BONIFACIO;2020;1;11925;0.266;0.155
J BONIFACIO;2020;2;5033;0.315;0.361
J BONIFACIO;2020;3;10527;0.309;0.166
J BONIFACIO;2020;4;10646;0.313;0.193
J BONIFACIO;2021;1;12597;0.288;0.138
J BONIFACIO;2021;2;11403;0.308;0.193
J BONIFACIO;2021;3;12098;0.35;0.185
J BONIFACIO;2021;4;11906;0.369;0.204
JABAQUARA;2018;1;54135;0.32;0.407
JABAQUARA;2018;2;57585;0.326;0.45
JABAQUARA;2018;3;50623;0.32;0.436
JABAQUARA;2018;4;48408;0.331;0.412
JABAQUARA;2019;1;42028;0.277;0.354
JABAQUARA;2019;2;39855;0.342;0.42
JABAQUARA;2019;3;39966;0.348;0.411
