id,districts,year,total_professionals,avg_teleworkable_score,weighted_avg_teleworkable_score
4459, Água Rasa,2018,98233,0.344,0.281
4460, Alto de Pinheiros,2018,34871,0.389,0.420
4461, Anhanguera,2018,5379,0.338,0.388
4462, Aricanduva,2018,78101,0.299,0.160
4463, Artur Alvim,2018,14217,0.321,0.309
4464, Barra Funda,2018,143047,0.357,0.441
4465, Bela Vista,2018,421425,0.405,0.343
4466, Belém,2018,160613,0.400,0.286
4467, Bom Retiro,2018,154473,0.332,0.385
4468, Brás,2018,135355,0.343,0.336
4469, Brasilândia,2018,21988,0.342,0.323
4470, Butantã,2018,116915,0.382,0.310
4471, Cachoeirinha,2018,27542,0.333,0.368
4472, Cambuci,2018,128659,0.403,0.342
4473, Campo Belo,2018,92415,0.329,0.360
4474, Campo Grande,2018,94924,0.341,0.258
4475, Campo Limpo,2018,40255,0.345,0.341
4476, Cangaíba,2018,49842,0.310,0.230
4477, Capão Redondo,2018,30984,0.301,0.296
4478, Carrão,2018,53493,0.312,0.260
4479, Casa Verde,2018,112409,0.348,0.403
4480, Cidade Ademar,2018,58208,0.316,0.262
4481, Cidade Dutra,2018,74292,0.334,0.346
4482, Cidade Líder,2018,29792,0.313,0.238
4483, Cidade Tiradentes,2018,70719,0.302,0.290
4484, Consolação,2018,351552,0.407,0.308
4485, Cursino,2018,87658,0.330,0.351
4486, Ermelino Matarazzo,2018,71160,0.333,0.440
4487, Freguesia do Ó,2018,51816,0.320,0.319
4488, Grajaú,2018,42397,0.307,0.234
4489, Guaianases,2018,17742,0.345,0.355
4490, Moema,2018,198092,0.412,0.341
4491, Iguatemi,2018,10721,0.299,0.200
4492, Ipiranga,2018,204509,0.304,0.258
4493, Itaim Bibi,2018,717295,0.387,0.500
4494, Itaim Paulista,2018,34679,0.324,0.323
4495, Itaquera,2018,58695,0.349,0.334
4496, Jabaquara,2018,210751,0.324,0.427
4497, Jaçanã,2018,60499,0.300,0.183
4498, Jaguara,2018,63230,0.315,0.339
4499, Jaguaré,2018,102984,0.409,0.345
4500, Jaraguá,2018,30027,0.313,0.226
4501, Jardim Ângela,2018,25519,0.309,0.318
4502, Jardim Helena,2018,25496,0.354,0.255
4503, Jardim Paulista,2018,251881,0.419,0.377
4504, Jardim São Luís,2018,104694,0.302,0.446
4505, José Bonifácio,2018,40646,0.318,0.193
4506, Lapa,2018,282338,0.336,0.309
4507, Liberdade,2018,135325,0.314,0.488
4508, Limão,2018,55413,0.330,0.256
4509, Mandaqui,2018,58701,0.347,0.359
4510, Marsilac,2018,12182,0.308,0.229
4511, Mooca,2018,136976,0.395,0.239
4512, Morumbi,2018,158984,0.355,0.242
4513, Parelheiros,2018,14424,0.323,0.260
4514, Pari,2018,58958,0.308,0.244
4515, Parque do Carmo,2018,47693,0.320,0.203
4516, Pedreira,2018,36955,0.328,0.263
4517, Penha,2018,79493,0.328,0.281
4518, Perdizes,2018,99645,0.324,0.341
4519, Perus,2018,13592,0.305,0.307
4520, Pinheiros,2018,250646,0.357,0.514
4521, Pirituba,2018,115558,0.361,0.360
4522, Ponte Rasa,2018,28481,0.320,0.393
4523, Raposo Tavares,2018,35865,0.334,0.219
4524, República,2018,252081,0.353,0.442
4525, Rio Pequeno,2018,92876,0.334,0.371
4526, Sacomã,2018,102930,0.287,0.268
4527, Santa Cecília,2018,147560,0.346,0.424
4528, Santana,2018,159306,0.343,0.355
4529, Santo Amaro,2018,305265,0.321,0.474
4530, São Lucas,2018,41311,0.318,0.222
4531, São Mateus,2018,64279,0.306,0.308
4532, São Miguel,2018,26565,0.344,0.315
4533, São Rafael,2018,35044,0.316,0.271
4534, Sapopemba,2018,103233,0.298,0.351
4535, Saúde,2018,1379022,0.345,0.503
4536, Sé,2018,690449,0.377,0.552
4537, Socorro,2018,98661,0.304,0.249
4538, Tatuapé,2018,132818,0.335,0.341
4539, Tremembé,2018,18957,0.321,0.315
4540, Tucuruvi,2018,34452,0.337,0.356
4541, Vila Andrade,2018,68819,0.339,0.336
4542, Vila Curuçá,2018,21533,0.344,0.373
4543, Vila Formosa,2018,56903,0.319,0.306
4544, Vila Guilherme,2018,107500,0.328,0.451
4545, Vila Jacuí,2018,23976,0.272,0.311
4546, Vila Leopoldina,2018,139256,0.410,0.360
4547, Vila Maria,2018,218394,0.342,0.319
4548, Vila Mariana,2018,287240,0.413,0.339
4549, Vila Matilde,2018,81375,0.346,0.310
4550, Vila Medeiros,2018,36599,0.274,0.300
4551, Vila Prudente,2018,75658,0.336,0.227
4552, Vila Sônia,2018,66569,0.339,0.307
4553, São Domingos,2018,186880,0.340,0.477
4554, Lajeado,2018,85176,0.339,0.304
