4459 - Água Rasa,4460 - Alto de Pinheiros,4461 - Anhanguera,4462 - Aricanduva,4463 - Artur Alvim,4464 - Barra Funda,4465 - Bela Vista,4466 - Belém,4467 - Bom Retiro,4468 - Brás,4469 - Brasilândia,4470 - Butantã,4471 - Cachoeirinha,4472 - Cambuci,4473 - Campo Belo,4474 - Campo Grande,4475 - Campo Limpo,4476 - Cangaíba,4477 - Capão Redondo,4478 - Carrão,4479 - Casa Verde,4480 - Cidade Ademar,4481 - Cidade Dutra,4482 - Cidade Líder,4483 - Cidade Tiradentes,4484 - Consolação,4485 - Cursino,4486 - Ermelino Matarazzo,4487 - Freguesia do Ó,4488 - Grajaú,4489 - Guaianases,4490 - Moema,4491 - Iguatemi,4492 - Ipiranga,4493 - Itaim Bibi,4494 - Itaim Paulista,4495 - Itaquera,4496 - Jabaquara,4497 - Jaçanã,4498 - Jaguara,4499 - Jaguaré,4500 - Jaraguá,4501 - Jardim Ângela,4502 - Jardim Helena,4503 - Jardim Paulista,4504 - Jardim São Luís,4505 - José Bonifácio,4506 - Lapa,4507 - Liberdade,4508 - Limão,4509 - Mandaqui,4510 - Marsilac,4511 - Mooca,4512 - Morumbi,4513 - Parelheiros,4514 - Pari,4515 - Parque do Carmo,4516 - Pedreira,4517 - Penha,4518 - Perdizes,4519 - Perus,4520 - Pinheiros,4521 - Pirituba,4522 - Ponte Rasa,4523 - Raposo Tavares,4524 - República,4525 - Rio Pequeno,4526 - Sacomã,4527 - Santa Cecília,4528 - Santana,4529 - Santo Amaro,4530 - São Lucas,4531 - São Mateus,4532 - São Miguel,4533 - São Rafael,4534 - Sapopemba,4535 - Saúde,4536 - Sé,4537 - Socorro,4538 - Tatuapé,4539 - Tremembé,4540 - Tucuruvi,4541 - Vila Andrade,4542 - Vila Curuçá,4543 - Vila Formosa,4544 - Vila Guilherme,4545 - Vila Jacuí,4546 - Vila Leopoldina,4547 - Vila Maria,4548 - Vila Mariana,4549 - Vila Matilde,4550 - Vila Medeiros,4551 - Vila Prudente,4552 - Vila Sônia,4553 - São Domingos,4554 - Lajeado
0.000,1746.139,0.000,0.000,0.000,10945.456,4228.243,612.908,2979.253,197.358,201557.823,755.577,14130.710,792.784,0.000,670.976,0.000,189.453,0.000,204.207,2749.739,0.000,0.000,0.000,0.000,1681.557,889.372,0.000,30109.406,0.000,0.000,1061.543,0.000,0.000,376.037,0.000,0.000,868.770,315.147,692.836,399.213,11716.968,0.000,0.000,3494.395,0.000,0.000,18703.509,0.000,10303.299,2007.168,0.000,666.497,855.951,0.000,666.497,1534.609,0.000,0.000,3010.489,518.829,924.483,8918.318,0.000,388.843,6747.449,353.908,0.000,3818.076,6095.945,3262.524,0.000,0.000,0.000,0.000,0.000,0.000,1893.192,706.347,1244.313,471.386,2578.918,274.407,0.000,0.000,163.453,798.574,649.247,806.012,2826.228,0.000,0.000,0.000,602.361,506.982,646.699
387.938,3339.507,1198.033,142.522,170.313,408.976,2595.457,85.130,1107.618,34.868,755.577,55205.626,0.000,395.255,1069.666,841.583,3368.875,976.297,1236.585,677.638,333.311,1230.379,670.152,0.000,365.370,3095.706,0.000,888.059,1241.936,616.734,0.000,1100.881,0.000,570.637,5300.860,140.432,207.437,409.431,570.560,389.395,4032.245,820.002,420.871,1359.085,3041.862,1121.687,520.899,1964.106,961.335,755.556,0.000,0.000,205.185,3715.961,249.866,0.000,0.000,0.000,0.000,2498.994,0.000,8408.952,788.936,0.000,8100.560,1186.478,18883.344,570.312,2647.671,1293.288,2651.859,867.072,0.000,337.774,263.619,456.761,804.797,2290.174,472.745,1325.084,270.104,36.662,2038.805,443.762,0.000,775.177,0.000,1210.225,610.974,2572.173,120.725,0.000,1195.743,13731.232,0.000,0.000
0.000,0.000,0.000,436.711,0.000,2393.882,1369.297,0.000,1975.213,1506.421,14115.537,125.312,144201.674,0.000,299.997,0.000,0.000,0.000,0.000,0.000,4788.885,0.000,0.000,0.000,0.000,1086.952,0.000,0.000,7869.314,0.000,0.000,58.092,0.000,0.000,1344.941,0.000,0.000,0.000,243.070,399.628,0.000,555.674,0.000,0.000,2751.586,0.000,0.000,2506.268,1010.760,12410.290,20278.359,0.000,1081.945,0.000,0.000,902.852,0.000,0.000,0.000,1069.282,0.000,694.782,1347.186,0.000,0.000,3674.341,577.590,0.000,1407.437,10396.752,845.479,0.000,0.000,0.000,0.000,0.000,0.000,2708.794,0.000,957.589,332.572,2236.769,0.000,0.000,0.000,297.521,0.000,577.590,0.000,1369.297,0.000,0.000,0.000,530.898,238.990,0.000
2515.558,0.000,0.000,0.000,170.313,160.290,490.721,775.490,403.581,1777.088,146.085,395.255,0.000,32215.274,803.035,0.000,202.313,49.680,1282.091,1171.324,672.639,264.667,628.998,0.000,365.370,1217.463,355.192,0.000,494.141,0.000,454.961,90.650,574.623,10513.629,676.594,1320.207,1193.514,2060.813,0.000,284.220,0.000,292.310,612.749,541.181,956.939,219.815,134.073,324.790,9430.127,0.000,0.000,0.000,3622.648,431.285,0.000,419.897,0.000,0.000,417.846,267.391,0.000,845.044,328.914,0.000,500.298,2296.553,290.969,4704.742,1628.379,1085.098,503.930,955.106,488.210,0.000,0.000,2335.209,1572.145,3155.662,0.000,2528.033,0.000,187.310,544.777,1959.629,180.263,432.599,370.864,255.369,484.420,6895.912,123.923,0.000,1401.002,52.820,0.000,1859.468
0.000,442.097,0.000,396.019,639.022,231.784,2043.663,178.680,421.314,126.578,0.000,457.137,638.376,803.035,56797.721,4538.145,2016.276,649.321,4873.322,0.000,121.875,8059.411,2762.766,1208.065,0.000,1616.930,1620.136,513.925,419.658,2911.281,0.000,7170.848,151.690,945.931,15657.929,0.000,957.165,12263.352,257.651,93.839,216.818,292.310,3958.540,0.000,2747.610,4849.704,520.899,327.304,1049.660,0.000,1020.639,0.000,1510.270,2422.031,2138.331,0.000,274.118,489.837,277.173,1191.530,0.000,1752.627,0.000,403.071,0.000,386.281,558.126,138.587,510.958,1059.881,9565.424,0.000,0.000,34.644,0.000,458.279,3007.290,1244.454,1057.007,191.177,0.000,904.786,2111.060,0.000,0.000,337.682,0.000,326.114,0.000,5121.383,0.000,0.000,332.233,1138.250,0.000,190.131
0.000,289.968,0.000,0.000,283.567,382.420,623.246,121.037,530.587,155.115,670.976,929.358,0.000,0.000,4357.451,100067.300,5145.217,45.664,1806.694,0.000,99.294,29366.459,11461.438,262.783,272.856,2177.602,108.104,0.000,461.646,16432.473,0.000,5133.372,616.320,554.929,6497.000,1321.336,316.966,3519.829,0.000,0.000,0.000,0.000,2844.397,899.897,2335.544,5052.705,0.000,241.828,1980.487,0.000,0.000,96.119,126.569,3063.122,2805.494,23.202,179.231,7357.249,0.000,721.437,0.000,2620.508,0.000,0.000,0.000,1903.072,86.313,2149.152,365.791,386.876,15560.414,0.000,0.000,337.774,0.000,0.000,2519.768,1182.072,3437.466,0.000,882.051,0.000,3310.042,0.000,0.000,0.000,201.492,699.479,0.000,1632.460,124.099,0.000,0.000,882.351,0.000,0.000
0.000,895.386,0.000,0.000,0.000,0.000,2823.643,0.000,0.000,445.368,0.000,3493.419,0.000,202.313,2025.199,5145.217,169304.544,0.000,25081.694,0.000,0.000,429.633,808.539,0.000,365.370,2794.349,586.122,0.000,0.000,579.920,0.000,4080.274,0.000,0.000,7898.020,0.000,0.000,1209.014,520.567,0.000,0.000,288.853,2684.286,309.063,5831.571,13766.700,0.000,2126.535,598.306,0.000,421.817,0.000,583.879,2971.538,21.630,452.575,0.000,990.710,0.000,47.900,0.000,9038.621,0.000,0.000,702.786,506.364,874.785,630.936,0.000,0.000,21962.744,0.000,0.000,0.000,0.000,0.000,924.078,2323.846,732.468,436.155,882.051,0.000,11993.235,0.000,0.000,0.000,0.000,714.973,0.000,3399.513,193.342,0.000,0.000,9428.156,0.000,0.000
103.058,0.000,0.000,0.000,1737.747,1373.984,2367.184,1540.230,492.757,2810.973,189.453,1394.855,0.000,49.680,649.321,45.664,0.000,116416.878,256.878,569.960,357.378,311.723,0.000,349.295,0.000,746.822,277.367,15487.520,0.000,0.000,247.426,939.672,0.000,2129.663,1299.092,1274.823,865.896,0.000,357.378,0.000,0.000,0.000,0.000,314.820,1000.098,0.000,0.000,1055.992,1206.225,0.000,0.000,0.000,848.606,43.082,0.000,70.325,0.000,0.000,17678.498,141.413,0.000,1609.784,0.000,6717.651,0.000,2175.678,0.000,357.378,913.603,784.361,1202.948,0.000,299.749,751.665,0.000,286.621,296.911,1991.786,0.000,7202.591,407.986,372.148,497.027,2513.229,440.032,904.997,2760.944,998.063,2523.523,523.203,604.575,0.000,0.000,0.000,0.000,769.071
107.574,872.776,0.000,0.000,0.000,185.295,4118.418,0.000,113.543,0.000,0.000,1398.402,0.000,1282.091,4034.863,2415.251,22977.487,256.878,280685.262,229.536,90.222,1491.927,1047.539,0.000,0.000,2052.198,0.000,376.559,0.000,611.131,0.000,6070.803,200.414,0.000,11740.712,0.000,0.000,2389.562,0.000,0.000,853.218,0.000,36258.197,0.000,2979.818,28685.496,0.000,808.079,867.980,0.000,0.000,0.000,0.000,2807.985,599.291,1525.004,0.000,0.000,142.517,1099.207,229.536,6473.423,0.000,0.000,0.000,1524.211,305.861,2191.710,1446.339,185.295,24858.550,0.000,0.000,0.000,0.000,0.000,561.075,1665.508,1922.455,155.430,1438.428,0.000,6898.708,0.000,0.000,270.235,241.648,340.725,0.000,2702.811,0.000,0.000,0.000,925.201,0.000,0.000
2101.066,34.868,0.000,9765.256,1840.843,576.689,1934.483,1655.134,465.872,948.887,0.000,677.638,0.000,1191.526,0.000,0.000,0.000,569.960,229.536,58963.784,0.000,0.000,0.000,5729.288,332.734,347.969,0.000,1291.069,0.000,0.000,239.783,1688.133,546.027,0.000,979.580,1112.758,2091.207,518.642,0.000,0.000,0.000,0.000,0.000,610.817,1446.631,0.000,1328.264,465.872,1325.363,121.535,0.000,0.000,3338.150,268.434,0.000,23.202,674.388,324.780,1957.219,0.000,0.000,1051.474,267.132,1833.244,0.000,2202.682,506.844,0.000,325.666,264.462,0.000,2002.610,1979.601,686.740,752.022,2022.556,0.000,1094.100,0.000,21422.600,0.000,0.000,0.000,2001.592,10237.043,871.103,1401.423,142.279,813.779,268.564,11184.818,0.000,2934.242,0.000,0.000,254.950
