link,date,title,address,area,rooms,suite,bathrooms,garage,price,condo,zone,district,characteristics,createdAt
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 41m²","Rua das Palmeiras, 322 - Santa Cecília, São Paulo - SP",41,1,,1,1,2000,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos para venda ou aluguel, 58m²","Rua Alba - Jabaquara, São Paulo - SP",58,3,--,1,1,1500,400,Zona Sul,Jabaquara,"[""Churrasqueira"",""Cozinha"",""Elevador"",""Varanda"",""Área de serviço""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos para venda ou aluguel, 100m²","Rua Bartira, 1060 - Perdizes, São Paulo - SP",100,3,--,1,1,2000,650,Zona Oeste,Perdizes,"[""Cozinha"",""Interfone"",""Garagem"",""Jardim""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 54m²","Rua Gustavo da Silveira, 615 - Vila Santa Catarina, São Paulo - SP",54,2,--,1,1,1500,780,Zona Sul,Vila Santa Catarina,"[""Perto de vias de acesso"",""Próximo a shopping"",""Próximo a transporte público"",""Próximo a escola"",""Próximo a hospitais"",""Varanda"",""Mobiliado"",""TV a cabo"",""Conexão à internet"",""Cozinha"",""Área de serviço"",""Vista exterior"",""Churrasqueira"",""Elevador"",""Jardim"",""Academia"",""Salão de festas"",""Playground"",""Piscina"",""Piscina para adulto"",""Piscina infantil"",""Salão de jogos"",""Salão de jogos"",""Sauna"",""Interfone"",""Sistema de alarme""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 66m²","Avenida Portugal - Brooklin, São Paulo - SP",66,1,1,2,1,3500,750,Zona Sul,Brooklin,"[""Ar-condicionado"",""Piscina"",""Sauna"",""Playground"",""Academia"",""Mobiliado""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 63m²","Avenida Sargento Geraldo Sant'Ana, 301 - Jardim Taquaral, São Paulo - SP",63,2,1,2,2,1700,880,Zona Sul,Jardim Taquaral,"[""Academia"",""Mobiliado"",""Próximo a shopping"",""Piscina"",""Varanda""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 51m²","Rua Nestor Homem de Melo, 152 - Jardim Catanduva, São Paulo - SP",51,2,,1,1,889,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 50m²","Bela Vista, São Paulo - SP",50,2,--,1,1,1450,537,,Viva Real,"[""Cozinha"",""Interfone"",""Perto de vias de acesso""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 35m²","Rua Frei Caneca, 128 - Consolação, São Paulo - SP",35,1,--,1,1,1200,1100,,Viva Real,"[""Próximo a hospitais"",""Próximo a escola"",""Próximo a transporte público"",""Próximo a shopping"",""Perto de vias de acesso"",""Vigia"",""Circuito de segurança"",""Segurança 24h"",""Interfone"",""Condomínio fechado"",""Sistema de alarme"",""Garagem"",""Mobiliado"",""Gerador elétrico"",""Mais de um andar"",""Recepção"",""Espaço verde / Parque"",""Espaço teen"",""Academia"",""Jardim"",""Elevador""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 60m²","Rua Doutor João Vieira Neves, 435 - Butantã, São Paulo - SP",60,2,--,1,1,1200,650,Zona Oeste,Butantã,"[""Interfone"",""Piscina para adulto"",""Piscina infantil"",""Playground"",""Quadra poliesportiva"",""Salão de festas""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Casa com 1 Quarto para alugar, 45m²","Rua Francisco de Assis Prado, 81 - Parque Tomas Saraiva, São Paulo - SP",45,1,--,1,1,1000,,Zona Leste,Parque Tomas Saraiva,[],2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 72m²","Avenida Nossa Senhora do Sabará, 563 - Jardim Marajoara, São Paulo - SP",72,2,--,2,1,1300,710,Zona Sul,Jardim Marajoara,"[""Churrasqueira"",""Elevador"",""Jardim"",""Espaço gourmet"",""Academia"",""Salão de festas"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Varanda"",""Depósito"",""Perto de vias de acesso"",""Próximo a shopping"",""Segurança 24h"",""Interfone"",""Condomínio fechado""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 80m²","Avenida Bem-te-vi - Moema, São Paulo - SP",80,2,--,1,1,1950,917,Zona Sul,Moema,[],2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 54m²","Rua Paulo de Avelar - Parada Inglesa, São Paulo - SP",54,1,,1,1,1000,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Flat com 1 Quarto para alugar, 38m²","Rua Frei Caneca, 128 - Consolação, São Paulo - SP",38,1,1,1,1,1200,1100,,Viva Real,"[""Perto de vias de acesso"",""Próximo a shopping"",""Próximo a transporte público"",""Próximo a escola"",""Próximo a hospitais"",""Ar-condicionado"",""Mobiliado"",""Cabeamento estruturado"",""TV a cabo"",""Conexão à internet"",""Garagem"",""Cozinha"",""Sistema de alarme"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Circuito de segurança"",""Vigia"",""Elevador"",""Jardim"",""Academia"",""Piscina"",""Mais de um andar"",""Recepção""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Flat com 1 Quarto para venda ou aluguel, 30m²","Rua Santa Justina, 210 - Vila Olímpia, São Paulo - SP",30,1,--,1,1,1589,880,Zona Sul,Vila Olímpia,"[""Academia"",""Ar-condicionado"",""Mobiliado"",""Piscina"",""TV a cabo"",""Segurança 24h"",""Gerador elétrico""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Flat com 1 Quarto para venda ou aluguel, 35m²","Rua Nazira Carone, 9 - Morumbi, São Paulo - SP",35,1,,1,1,1070,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Casa de Condomínio com 1 Quarto para alugar, 60m²","Rua Fisico Laurence - Jaguaré, São Paulo - SP",60,1,1,1,--,1000,,Zona Oeste,Jaguaré,[],2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Kitnet com 1 Quarto para alugar, 30m²","Rua Bento Freitas - República, São Paulo - SP",30,1,--,1,--,950,,,Viva Real,"[""Cozinha"",""Elevador"",""TV a cabo""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos para venda ou aluguel, 104m²","Rua Pais Leme, 215 - Pinheiros, São Paulo - SP",104,3,1,2,2,6500,,Zona Oeste,Pinheiros,"[""Churrasqueira"",""Elevador"",""Jardim"",""Espaço gourmet"",""Academia"",""Salão de festas"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Espaço teen"",""Espaço verde / Parque"",""Piscina para adulto"",""Piscina infantil"",""Cinema"",""Salão de jogos"",""Salão de jogos"",""Recepção"",""Sauna"",""Quadra de squash"",""Segurança 24h"",""Circuito de segurança"",""Interfone"",""Condomínio fechado"",""Sistema de alarme"",""Área de serviço"",""Cozinha"",""Garagem"",""Próximo a hospitais"",""Próximo a escola"",""Próximo a transporte público"",""Próximo a shopping"",""Perto de vias de acesso""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para venda ou aluguel, 70m²","Rua Virgílio Várzea, 119 - Itaim Bibi, São Paulo - SP",70,2,--,1,1,2800,850,Zona Sul,Itaim Bibi,"[""Perto de vias de acesso"",""Próximo a shopping"",""Próximo a transporte público"",""Próximo a escola"",""Próximo a hospitais"",""Varanda"",""Garagem"",""Cozinha"",""Área de serviço"",""Sistema de alarme"",""Interfone"",""Circuito de segurança"",""Elevador""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 41m²","Rua das Palmeiras, 322 - Vila Buarque, São Paulo - SP",41,1,,1,1,2100,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 64m²","Rua Almeida Torres - Aclimação, São Paulo - SP",64,2,--,1,--,1350,465,,Viva Real,"[""Elevador"",""Interfone""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 45m²","Rua Comendador Antunes dos Santos, 1600 - Jardim Vaz de Lima, São Paulo - SP",45,2,--,1,--,900,210,Zona Sul,Jardim Vaz de Lima,"[""Churrasqueira"",""Cozinha"",""Próximo a escola"",""Playground"",""Salão de festas"",""Próximo a transporte público"",""Área de serviço""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para venda ou aluguel, 32m²","Bela Vista, São Paulo - SP",32,1,,1,1,1100,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Casa com 3 Quartos para alugar, 98m²","Avenida Jabaquara - Saúde, São Paulo - SP",98,3,,1,--,1700,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Flat com 1 Quarto para venda ou aluguel, 29m²","Alameda Campinas, 540 - Jardins, São Paulo - SP",29,1,1,1,1,2100,900,Zona Sul,Jardins,"[""Vigia"",""Circuito de segurança"",""Segurança 24h"",""Interfone"",""Condomínio fechado"",""Sistema de alarme"",""Aquecimento"",""Ar-condicionado"",""Varanda"",""Mobiliado"",""Cabeamento estruturado"",""TV a cabo"",""Conexão à internet"",""Garagem"",""Cozinha"",""Próximo a hospitais"",""Próximo a transporte público"",""Próximo a shopping"",""Perto de vias de acesso"",""Próximo a escola"",""Elevador"",""Jardim"",""Academia"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Piscina para adulto"",""Piscina infantil"",""Quadra de tênis"",""Mais de um andar"",""Recepção"",""Sauna"",""Gerador elétrico""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 41m²","Rua das Palmeiras, 322 - Vila Buarque, São Paulo - SP",41,1,,1,1,2100,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 71m²","Rua Raul Pompéia, 375 - Pompeia, São Paulo - SP",71,2,1,2,1,2100,680,Zona Oeste,Pompeia,"[""Perto de vias de acesso"",""Próximo a shopping"",""Próximo a transporte público"",""Próximo a escola"",""Próximo a hospitais"",""Varanda"",""Mobiliado"",""Garagem"",""Lavanderia"",""Cozinha"",""Área de serviço"",""Vista exterior"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Circuito de segurança"",""Churrasqueira"",""Elevador"",""Jardim"",""Academia"",""Salão de festas"",""Playground"",""Quadra poliesportiva"",""Recepção""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 1 Quarto para alugar, 53m²","Rua Luís Coelho, 53 - Consolação, São Paulo - SP",53,1,,1,--,1800,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos para alugar, 84m²","Rua Apinajés, 709 - Perdizes, São Paulo - SP",84,3,1,3,1,2900,1250,Zona Oeste,Perdizes,"[""Perto de vias de acesso"",""Próximo a shopping"",""Próximo a transporte público"",""Próximo a escola"",""Próximo a hospitais"",""Ar-condicionado"",""Varanda"",""Área de serviço"",""Churrasqueira"",""Elevador"",""Jardim"",""Academia"",""Playground"",""Piscina"",""Quadra poliesportiva"",""Salão de jogos"",""Condomínio fechado"",""Interfone"",""Segurança 24h"",""Gerador elétrico""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 3 Quartos para alugar, 92m²","Estrada Velha da Penha - Tatuapé, São Paulo - SP",92,3,,2,2,2000,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Casa com 3 Quartos para alugar, 68m²","Rua Isaac Herbst, 176 - Jardim Maria Duarte, São Paulo - SP",68,3,,1,1,950,,,,,2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 52m²","Rua Doutor Plínio Barreto - Bela Vista, São Paulo - SP",52,2,--,1,1,2500,450,,Viva Real,"[""Churrasqueira"",""Cozinha"",""Elevador"",""Interfone"",""Piscina"",""Varanda"",""Sistema de alarme"",""TV a cabo"",""Área de serviço""]",2023-07-25-14:51:43
https://web.archive.org/web/20190103/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2019-01-03,"Apartamento com 2 Quartos para alugar, 53m²","Avenida Raimundo Pereira de Magalhães, 1720 - Pirituba, São Paulo - SP",53,2,,1,1,1000,,,,,2023-07-25-14:51:43
