link,date,title,address,area,rooms,suite,bathrooms,garage,price,condo,zone,district,characteristics,createdAt
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 29m²","Rua Vieira de Morais, 1960 - Campo Belo, São Paulo - SP",29,1,,1,1,1177,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 22m²","Rua Tabatinguera, 242 - Sé, São Paulo - SP",22,1,,1,1,1500,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Sala Comercial para alugar, 110m²","Rua João Faustino, 43 - Jardim dos Prados, São Paulo - SP",110,--,--,2,3,1200,,Zona Sul,Jardim dos Prados,[],2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 3 Quartos para alugar, 57m²","Estrada do Campo Limpo, 6865 - Pirajussara, São Paulo - SP",57,3,1,2,1,1850,,Zona Sul,Vila Pirajussara,"[""Academia"",""Churrasqueira"",""Jardim"",""Piscina"",""Playground"",""Salão de festas"",""Elevador"",""Acesso para deficientes"",""Condomínio fechado"",""Portaria 24h"",""Salão de jogos""]",2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 3 Quartos para alugar, 70m²","Rua Conrado Mazzeo, 292 - Vila Borges, São Paulo - SP",70,3,,2,1,1300,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 2 Quartos para alugar, 59m²","Rua Mourato Coelho, 648 - Pinheiros, São Paulo - SP",59,2,,2,2,5000,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 32m²","Avenida Rio Branco, 1658 - Campos Elíseos, São Paulo - SP",32,1,1,1,1,1398,554,Centro,Campos Eliseos,"[""Academia"",""Espaço gourmet"",""Jardim"",""Piscina"",""Condomínio fechado"",""Salão de festas"",""Salão de jogos"",""Ar-condicionado"",""Mobiliado""]",2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 33m²","Rua Gomes de Carvalho, 1005 - Vila Olímpia, São Paulo - SP",33,1,,1,1,1900,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 3 Quartos para venda ou aluguel, 70m²","Alameda Barros - Santa Cecília, São Paulo - SP",70,3,--,2,1,2500,1088,Centro,Santa Cecília,"[""Cozinha""]",2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Casa com 2 Quartos para alugar, 70m²","Rua São João Dássio, 270 - Vila Dom Pedro II, São Paulo - SP",70,2,,1,2,1500,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 1 Quarto para alugar, 31m²","Praça Cassiano Nogueira, 28 - Vila Mariana, São Paulo - SP",31,1,,1,1,2564,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Sala Comercial para alugar, 11m²","Rua Tenente Blum, 17 - Jardim São Paulo, São Paulo - SP",11,--,,1,--,950,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Casa com 1 Quarto para alugar, 40m²","Jardim Miriam, São Paulo - SP",40,1,,1,--,835,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 29m²","Alameda Santos, 981 - Cerqueira César, São Paulo - SP",29,1,1,1,1,1600,1400,Centro,Cerqueira César,"[""Condomínio fechado"",""Academia"",""Jardim"",""Piscina"",""Quadra poliesportiva"",""Salão de festas"",""Quadra de tênis"",""Elevador"",""Lavanderia"",""Sauna"",""Spa"",""Ar-condicionado"",""Lareira"",""Mobiliado"",""Varanda gourmet""]",2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 40m²","9 de Julho, 411 - Bela Vista, São Paulo - SP",40,1,,1,1,2950,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 28m²","Rua Butantã, 408 - Pinheiros, São Paulo - SP",28,1,,1,1,2150,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 52m²","Rua Alvorada, 1009 - Vila Olímpia, São Paulo - SP",52,1,,1,1,2800,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 1 Quarto para alugar, 51m²","Rua Borges de Figueiredo, 303 - Mooca, São Paulo - SP",51,1,,2,1,1900,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 1 Quarto para alugar, 37m²","Rua Olímpia de Almeida Prado, 27 - Barra Funda, São Paulo - SP",37,1,,1,1,2450,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 1 Quarto para alugar, 28m²","Rua Santa Isabel - Vila Buarque, São Paulo - SP",28,1,--,1,--,2200,,Centro,Vila Buarque,"[""Elevador"",""Mobiliado""]",2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 2 Quartos para venda ou aluguel, 100m²","Vila Uberabinha, São Paulo - SP",100,2,,2,1,3500,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Flat com 1 Quarto para alugar, 42m²","Rua Haddock Lobo, 804 - Jardins, São Paulo - SP",42,1,,1,1,2000,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 1 Quarto para alugar, 35m²","Rua Nestor Pestana, 87 - Consolação, São Paulo - SP",35,1,,1,--,2200,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 2 Quartos para alugar, 73m²","Rua Faustolo, 645 - Água Branca, São Paulo - SP",73,2,,2,2,2800,,,,,2023-07-25-15:46:30
https://web.archive.org/web/20200101/https://www.vivareal.com.br/aluguel/sp/sao-paulo/,2020-01-01,"Apartamento com 3 Quartos para venda ou aluguel, 182m²","Alameda Barros, 909 - Santa Cecília, São Paulo - SP",182,3,,5,3,4800,,,,,2023-07-25-15:46:30
