year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,total
2020,1,121005,13320.17,Diretor de Planejamento Estrategico,3
2020,1,121010,19887.99,Diretor Geral de Empresa e Organizacoes (Exceto de Interesse Publico),18
2020,1,122405,21326.31,Diretor de Operacoes Comerciais (Comercio Atacadista e Varejista),2
2020,1,122615,4766.46,Diretor de Operacoes de Servicos de Telecomunicacoes,2
2020,1,122620,47765.82,Diretor de Operacoes de Servicos de Transporte,1
2020,1,122705,9111.11,Diretor Comercial em Operacoes de Intermediacao Financeira,1
2020,1,122710,29938.88,Diretor de Produtos Bancarios,1
2020,1,122725,4804.54,Diretor de Compliance,4
2020,1,122730,29288.88,Diretor de Credito (Exceto Credito Imobiliario),1
2020,1,123105,25752.21,Diretor Administrativo,25
2020,1,123110,14401.72,Diretor Administrativo e Financeiro,10
2020,1,123115,2969.61,Diretor Financeiro,2
2020,1,123205,26844.86,Diretor de Recursos Humanos,5
2020,1,123305,25268.72,Diretor Comercial,19
2020,1,123310,17412.22,Diretor de Marketing,10
2020,1,123405,25056.42,Diretor de Suprimentos,2
2020,1,123605,26424.54,Diretor de Servicos de Informatica,5
2020,1,123705,13053.83,Diretor de Pesquisa e Desenvolvimento (P&D),3
2020,1,131105,5553.96,Diretor de Servicos Culturais,1
2020,1,131110,1719.45,Diretor de Servicos Sociais,2
2020,1,131115,5716.29,Gerente de Servicos Culturais,12
2020,1,131120,3839.87,Gerente de Servicos Sociais,7
2020,1,131205,12584.51,Diretor de Servicos de Saude,2
2020,1,131210,9695.82,Gerente de Servicos de Saude,17
2020,1,131305,2125.48,Diretor de Instituicao Educacional da Area Privada,4
2020,1,131310,1946.16,Diretor de Instituicao Educacional Publica,4
2020,1,131315,2871.32,Gerente de Instituicao Educacional da Area Privada,6
2020,1,141205,4908.34,Gerente de Producao e Operacoes,39
2020,1,141305,7952.6,Gerente de Producao e Operacoes da Construcao Civil e Obras Publicas,36
2020,1,141405,1352.83,Comerciante Atacadista,17
2020,1,141410,1385.78,Comerciante Varejista,116
2020,1,141415,2305.87,Gerente de Loja e Supermercado,202
2020,1,141420,3880.19,Gerente de Operacoes de Servicos de Assistencia Tecnica,8
2020,1,141505,3471.47,Gerente de Hotel,2
2020,1,141510,2073.49,Gerente de Restaurante,108
2020,1,141515,2146.15,Gerente de Bar,22
2020,1,141605,8733.53,Gerente de Operacoes de Transportes,7
2020,1,141610,24537.03,Gerente de Operacoes de Correios e Telecomunicacoes,1
2020,1,141615,4503.01,Gerente de Logistica (Armazenagem e Distribuicao),21
2020,1,141705,11025.27,Gerente de Produtos Bancarios,11
2020,1,141710,4634.7,Gerente de Agencia,9
2020,1,141720,3005.7,Gerente de Credito e Cobranca,2
2020,1,142105,7104.58,Gerente Administrativo,178
2020,1,142110,10149.38,Gerente de Riscos,9
2020,1,142115,9292.31,Gerente Financeiro,30
2020,1,142120,1366.69,Tecnólogo em Gestão Administrativo- Financeira,2
2020,1,142205,8343.01,Gerente de Recursos Humanos,43
2020,1,142210,4630.21,Gerente de Departamento Pessoal,13
2020,1,142305,6530.43,Gerente Comercial,208
2020,1,142310,7048.6,Gerente de Comunicacao,29
2020,1,142315,7276.74,Gerente de Marketing,95
2020,1,142320,6184.65,Gerente de Vendas,141
2020,1,142325,4724.82,Relacoes Publicas (A),23
2020,1,142330,3380.42,Analista de Negocios (A),410
2020,1,142335,4059.88,Analista de Pesquisa de Mercado (A),336
2020,1,142340,5396.97,Ouvidor,4
2020,1,142405,5850.49,Gerente de Compras,11
2020,1,142410,5647.24,Gerente de Suprimentos,5
2020,1,142415,2774.9,Gerente de Almoxarifado,4
2020,1,142505,13184.14,Gerente de Rede,8
2020,1,142510,11888.69,Gerente de Desenvolvimento de Sistemas,21
2020,1,142515,12620.28,Gerente de Producao de Tecnologia da Informacao,11
2020,1,142520,10191.73,Gerente de Projetos de Tecnologia da Informacao,42
2020,1,142525,10674.07,Gerente de Seguranca de Tecnologia da Informacao,3
2020,1,142530,6813.41,Gerente de Suporte Tecnico de Tecnologia da Informacao,4
2020,1,142535,3202.77,Tecnólogo em Gestão da Tecnologia da Informação,13
2020,1,142605,11315.68,Gerente de Pesquisa e Desenvolvimento (P&D),42
2020,1,142705,6474.48,Gerente de Projetos e Servicos de Manutencao,24
2020,1,142710,1487.04,Tecnólogo em Sistemas Biomédicos,2
2020,1,201110,2873.15,Biotecnologista,1
2020,1,201210,1156.68,Especialista em Calibracoes Metrologicas,2
2020,1,202105,8214.78,Engenheiro Mecatronico,1
2020,1,202110,8212.85,Engenheiro de Controle  e Automacao,2
2020,1,202115,2290.51,Tecnologo em Mecatronica,2
2020,1,203105,4536.16,Pesquisador em Ciencias da Computacao e Informatica,3
2020,1,203210,6801.59,Pesquisador de Engenharia e Tecnologia (Outras Areas da Engenharia),7
2020,1,203220,1338.67,Pesquisador de Engenharia Mecanica,7
2020,1,203305,5602.18,Pesquisador de Clinica Medica,13
2020,1,203320,5905.52,Pesquisador em Saude Coletiva,4
2020,1,203405,1916.41,Pesquisador em Ciencias Agronomicas,2
2020,1,203505,3558.43,Pesquisador em Ciencias Sociais e Humanas,2
2020,1,203515,4128.68,Pesquisador em Ciencias da Educacao,1
2020,1,211105,4447.61,Atuario,1
2020,1,211110,3898.76,Especialista em Pesquisa Operacional,10
2020,1,211120,12504.07,Matematico Aplicado,8
2020,1,211205,3826.84,Estatistico,2
2020,1,212205,7881.2,Engenheiro de Aplicativos em Computacao,18
2020,1,212210,4559.67,Engenheiro de Equipamentos em Computacao,1
2020,1,212215,8168.74,Engenheiros de Sistemas Operacionais em Computacao,11
2020,1,212305,6010.34,Administrador de Banco de Dados,19
2020,1,212310,4290.76,Administrador de Redes,11
2020,1,212315,6623.1,Administrador de Sistemas Operacionais,27
2020,1,212320,7219.88,Administrador em Segurança da Informação,23
2020,1,212405,5533.58,Analista de Desenvolvimento de Sistemas,658
2020,1,212410,3895.52,Analista de Redes e de Comunicacao de Dados,117
2020,1,212415,3696.37,Analista de Sistemas de Automacao,23
2020,1,212420,2701.5,Analista de Suporte Computacional,309
2020,1,213205,4622.36,Quimico,3
2020,1,213315,4295.06,Meteorologista,4
2020,1,213405,3566.19,Geologo,1
2020,1,214105,5448.84,Arquiteto de Edificacoes,21
2020,1,214110,2363.7,Arquiteto de Interiores,10
2020,1,214115,3948.29,Arquiteto de Patrimonio,2
2020,1,214125,2126.81,Arquiteto Urbanista,3
2020,1,214130,4741.78,Urbanista,1
2020,1,214205,6991.73,Engenheiro Civil,45
2020,1,214210,486.67,Engenheiro Civil (Aeroportos),1
2020,1,214215,5909.04,Engenheiro Civil (Edificacoes),11
2020,1,214255,6510.37,Engenheiro Civil (Rodovias),2
2020,1,214270,2538.43,Engenheiro Civil (Transportes e Transito),2
2020,1,214280,2557.47,Tecnólogo em Construção Civil,2
2020,1,214305,6532.66,Engenheiro Eletricista,11
2020,1,214310,28653.7,Engenheiro Eletronico,2
2020,1,214315,5247,Engenheiro Eletricista de Manutencao,1
2020,1,214320,12471.6,Engenheiro Eletricista de Projetos,1
2020,1,214330,4106.46,Engenheiro Eletronico de Projetos,2
2020,1,214340,30620.93,Engenheiro de Telecomunicacoes,2
2020,1,214345,1715,Engenheiro Projetista de Telecomunicacoes,1
2020,1,214360,1999.66,Tecnologo em Eletricidade,1
2020,1,214365,2110.39,Tecnologo em Eletronica,2
2020,1,214370,15097.25,Tecnólogo em Telecomunicações,3
2020,1,214405,9336.3,Engenheiro Mecanico,6
2020,1,214410,9210,Engenheiro Mecanico Automotivo,1
2020,1,214420,6586.28,Engenheiro Mecanico Industrial,1
2020,1,214705,13515.9,Engenheiro de Minas,1
2020,1,214905,7976.83,Engenheiro de Producao,16
2020,1,214910,6578.47,Engenheiro de Controle de Qualidade,5
2020,1,214915,7199.26,Engenheiro de Seguranca do Trabalho,7
2020,1,214925,1910.74,Engenheiro de Tempos e Movimentos,1
2020,1,214935,1527.26,Tecnólogo em Segurança do Trabalho,2
2020,1,215105,1500,Agente de Manobra e Docagem,1
2020,1,215305,8474.22,Piloto de Aeronaves,2
2020,1,221105,2733.06,Biologo,7
2020,1,221205,2380.49,Biomédico,31
2020,1,222110,46056.24,Engenheiro Agronomo,1
