year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,CBO Ocupação 2002,total
2018,1,203015,5231.02,Pesquisador em Biologia de Microorganismos e Parasitas,203015,31
2018,1,203020,12636.24,Pesquisador em Biologia Humana,203020,139
2018,1,203025,11627.88,Pesquisador em Biologia Vegetal,203025,1686
2018,1,203105,8986.26,Pesquisador em Ciencias da Computacao e Informatica,203105,68
2018,1,203110,10028.41,Pesquisador em Ciencias da Terra e Meio Ambiente,203110,13
2018,1,203120,7246.84,Pesquisador em Matematica,203120,2
2018,1,203125,8571.7,Pesquisador em Quimica,203125,80
2018,1,203205,14305.22,Pesquisador de Engenharia Civil,203205,51
2018,1,203210,11684.85,Pesquisador de Engenharia e Tecnologia (Outras Areas da Engenharia),203210,3155
2018,1,203215,11065.92,Pesquisador de Engenharia Eletrica e Eletronica,203215,104
2018,1,203220,12787.84,Pesquisador de Engenharia Mecanica,203220,43
2018,1,203225,9900.18,"Pesquisador de Engenharia Metalurgica, de Minas e de Materiais",203225,27
2018,1,203230,11338.85,Pesquisador de Engenharia Quimica,203230,37
2018,1,203305,11606.11,Pesquisador de Clinica Medica,203305,633
2018,1,203310,13643.07,Pesquisador de Medicina Basica,203310,80
2018,1,203315,5286.12,Pesquisador em Medicina Veterinaria,203315,29
2018,1,203320,9331.49,Pesquisador em Saude Coletiva,203320,464
2018,1,203405,11142.16,Pesquisador em Ciencias Agronomicas,203405,93
2018,1,203505,7840.39,Pesquisador em Ciencias Sociais e Humanas,203505,924
2018,1,203510,12202.12,Pesquisador em Economia,203510,38
2018,1,203515,8415.11,Pesquisador em Ciencias da Educacao,203515,73
2018,1,203520,7177.91,Pesquisador em Historia,203520,26
2018,1,203525,3137.23,Pesquisador em Psicologia,203525,26
2018,1,204105,14313.21,Perito Criminal,204105,1371
2018,1,211105,9203.05,Atuario,211105,400
2018,1,211110,6833.51,Especialista em Pesquisa Operacional,211110,524
2018,1,211115,14717.63,Matematico,211115,14
2018,1,211120,12052.04,Matematico Aplicado,211120,100
2018,1,211205,11497.53,Estatistico,211205,751
2018,1,211210,9901.47,Estatistico (Estatistica Aplicada),211210,33
2018,1,211215,7522.96,Estatistico Teorico,211215,8
2018,1,212205,15090.89,Engenheiro de Aplicativos em Computacao,212205,777
2018,1,212210,15242.11,Engenheiro de Equipamentos em Computacao,212210,169
2018,1,212215,19847.1,Engenheiros de Sistemas Operacionais em Computacao,212215,784
2018,1,212305,9379.59,Administrador de Banco de Dados,212305,1060
2018,1,212310,8061.36,Administrador de Redes,212310,1663
2018,1,212315,8594.94,Administrador de Sistemas Operacionais,212315,2328
2018,1,212320,9237.61,Administrador em Segurança da Informação,212320,1196
2018,1,212405,8230.51,Analista de Desenvolvimento de Sistemas,212405,43675
2018,1,212410,6228.07,Analista de Redes e de Comunicacao de Dados,212410,8608
2018,1,212415,6109.91,Analista de Sistemas de Automacao,212415,1152
2018,1,212420,5261.45,Analista de Suporte Computacional,212420,24466
2018,1,213105,15265.17,Fisico,213105,165
2018,1,213110,5235.66,Fisico (Acustica),213110,1
2018,1,213115,8716.45,Fisico (Atomica e Molecular),213115,4
2018,1,213120,4574.11,Fisico (Cosmologia),213120,2
2018,1,213125,6310.33,Fisico (Estatistica e Matematica),213125,1
2018,1,213140,1656.92,Fisico (Materia Condensada),213140,3
2018,1,213145,5275.02,Fisico (Materiais),213145,2
2018,1,213150,11501.03,Fisico (Medicina),213150,36
2018,1,213155,15949.66,Fisico (Nuclear e Reatores),213155,1
2018,1,213160,3775.21,Fisico (Optica),213160,2
2018,1,213205,10315.29,Quimico,213205,568
2018,1,213210,9662.59,Quimico Industrial,213210,97
2018,1,213215,5215.49,Técnólogo em Processos Químicos,213215,22
2018,1,213305,5949.77,Astronomo,213305,4
2018,1,213315,7954.1,Meteorologista,213315,67
2018,1,213405,11429.06,Geologo,213405,221
2018,1,213410,10653.26,Geologo de Engenharia,213410,21
2018,1,213415,6572.68,Geofisico,213415,16
2018,1,213440,4974.95,Oceanógrafo,213440,21
2018,1,214005,10176.38,Engenheiro Ambiental,214005,373
2018,1,214010,7050.01,Tecnólogo em Meio Ambiente,214010,132
2018,1,214105,9315,Arquiteto de Edificacoes,214105,1760
2018,1,214110,8671.39,Arquiteto de Interiores,214110,323
2018,1,214115,9276.53,Arquiteto de Patrimonio,214115,138
2018,1,214120,5177.24,Arquiteto Paisagista,214120,68
2018,1,214125,8878.56,Arquiteto Urbanista,214125,418
2018,1,214130,6913.4,Urbanista,214130,26
2018,1,214205,11466.52,Engenheiro Civil,214205,8403
2018,1,214210,12836.98,Engenheiro Civil (Aeroportos),214210,16
2018,1,214215,10223.2,Engenheiro Civil (Edificacoes),214215,571
2018,1,214220,9457.6,Engenheiro Civil (Estruturas Metalicas),214220,38
2018,1,214225,9405.01,Engenheiro Civil (Ferrovias e Metrovias),214225,19
2018,1,214230,13186.73,Engenheiro Civil (Geotecnia),214230,41
2018,1,214235,11117.88,Engenheiro Civil (Hidrologia),214235,12
2018,1,214240,10113.09,Engenheiro Civil (Hidraulica),214240,49
2018,1,214245,9302.9,Engenheiro Civil (Pontes e Viadutos),214245,19
2018,1,214250,9635.9,Engenheiro Civil (Portos e Vias Navegaveis),214250,4
2018,1,214255,10877.05,Engenheiro Civil (Rodovias),214255,158
2018,1,214260,10069.52,Engenheiro Civil (Saneamento),214260,40
2018,1,214265,11742.57,Engenheiro Civil (Tuneis),214265,3
2018,1,214270,11023.97,Engenheiro Civil (Transportes e Transito),214270,787
2018,1,214280,7287.85,Tecnólogo em Construção Civil,214280,196
2018,1,214305,12421.83,Engenheiro Eletricista,214305,1987
2018,1,214310,12405.1,Engenheiro Eletronico,214310,639
2018,1,214315,9483.12,Engenheiro Eletricista de Manutencao,214315,194
2018,1,214320,11861.81,Engenheiro Eletricista de Projetos,214320,218
2018,1,214325,15408.84,Engenheiro Eletronico de Manutencao,214325,524
2018,1,214330,10952.29,Engenheiro Eletronico de Projetos,214330,151
2018,1,214335,11051.93,Engenheiro de Manutencao de Telecomunicacoes,214335,31
2018,1,214340,14574.99,Engenheiro de Telecomunicacoes,214340,653
2018,1,214345,14550.34,Engenheiro Projetista de Telecomunicacoes,214345,106
2018,1,214350,15240.83,Engenheiro de Redes de Comunicacao,214350,140
2018,1,214360,8985.74,Tecnologo em Eletricidade,214360,158
2018,1,214365,5172.26,Tecnologo em Eletronica,214365,229
2018,1,214370,12064.72,Tecnólogo em Telecomunicações,214370,185
2018,1,214405,11299.12,Engenheiro Mecanico,214405,1457
2018,1,214410,10590.04,Engenheiro Mecanico Automotivo,214410,180
2018,1,214415,17103.74,Engenheiro Mecanico (Energia Nuclear),214415,21
2018,1,214420,11622.27,Engenheiro Mecanico Industrial,214420,430
2018,1,214425,12136.83,Engenheiro Aeronautico,214425,115
2018,1,214430,13888.47,Engenheiro Naval,214430,42
2018,1,214435,8891.95,Tecnólogo em Fabricação Mecânica,214435,66
2018,1,214505,13269.86,Engenheiro Quimico,214505,456
2018,1,214510,12397.65,Engenheiro Quimico (Industria Quimica),214510,88
2018,1,214515,11646.95,"Engenheiro Quimico (Mineracao, Metalurgia, Siderurgia, Cimenteira e Ceramica)",214515,8
2018,1,214520,10831.64,Engenheiro Quimico (Papel e Celulose),214520,4
2018,1,214525,23518.52,Engenheiro Quimico (Petroleo e Borracha),214525,23
2018,1,214530,13554.35,Engenheiro Quimico (Utilidades e Meio Ambiente),214530,24
2018,1,214535,3881.41,Tecnólogo em Produção Sulcroalcooleira,214535,1
2018,1,214605,11495.91,Engenheiro de Materiais,214605,100
2018,1,214610,13467.36,Engenheiro Metalurgista,214610,166
2018,1,214615,6528.82,Tecnólogo em Metalurgia,214615,8
2018,1,214705,16583.16,Engenheiro de Minas,214705,32
2018,1,214715,11993.99,Engenheiro de Minas (Lavra a Ceu Aberto),214715,1
2018,1,214725,2920.4,Engenheiro de Minas (Pesquisa Mineral),214725,1
2018,1,214730,11256.26,Engenheiro de Minas (Planejamento),214730,2
2018,1,214735,8781.5,Engenheiro de Minas (Processo),214735,2
2018,1,214740,13430.07,Engenheiro de Minas (Projeto),214740,9
2018,1,214805,7806.24,Engenheiro Agrimensor,214805,21
2018,1,214810,6129.75,Engenheiro Cartografo,214810,63
2018,1,214905,10894.22,Engenheiro de Producao,214905,1191
2018,1,214910,11301.97,Engenheiro de Controle de Qualidade,214910,995
2018,1,214915,9816.51,Engenheiro de Seguranca do Trabalho,214915,944
2018,1,214920,17716.8,Engenheiro de Riscos,214920,69
2018,1,214925,6612.76,Engenheiro de Tempos e Movimentos,214925,104
2018,1,214930,9918.2,Tecnólogo em Produção Industrial,214930,57
2018,1,214935,4635.77,Tecnólogo em Segurança do Trabalho,214935,124
2018,1,215105,1876.65,Agente de Manobra e Docagem,215105,6
2018,1,215115,32050.43,Comandante da Marinha Mercante,215115,10
2018,1,215120,5138.22,Coordenador de Operacoes de Combate À Poluicao no Meio Aquaviario,215120,97
2018,1,215125,21945.85,Imediato da Marinha Mercante,215125,1
2018,1,215130,2593.6,Inspetor de Terminal,215130,9
2018,1,215135,3307.75,Inspetor Naval,215135,5
2018,1,215140,19595.73,Oficial de Quarto de Navegacao da Marinha Mercante,215140,2
2018,1,215150,2329.07,Vistoriador Naval,215150,57
2018,1,215205,6638.39,Oficial Superior de Maquinas da Marinha Mercante,215205,4
2018,1,215210,14045.11,Primeiro Oficial de Maquinas da Marinha Mercante,215210,3
2018,1,215215,12159.21,Segundo Oficial de Maquinas da Marinha Mercante,215215,3
2018,1,215220,27914.87,Superintendente Tecnico no Transporte Aquaviario,215220,5
2018,1,215305,23514,Piloto de Aeronaves,215305,2522
2018,1,215310,3262.78,Piloto de Ensaios em Voo,215310,5
2018,1,215315,9943.92,Instrutor de Voo,215315,17
2018,1,221105,6404.11,Biologo,221105,1521
2018,1,221205,5425.34,Biomédico,221205,1647
2018,1,222105,10420.47,Engenheiro Agricola,222105,12
2018,1,222110,11936.03,Engenheiro Agronomo,222110,1998
2018,1,222120,10265.21,Engenheiro Florestal,222120,31
2018,1,222205,8157.81,Engenheiro de Alimentos,222205,68
2018,1,222215,4281.98,Tecnólogo em Alimentos,222215,7
2018,1,223204,5473.57,Cirurgiao Dentista - Auditor,223204,87
2018,1,223208,4480.38,Cirurgiao Dentista - Clinico Geral,223208,3987
2018,1,223212,7596.18,Cirurgiao Dentista - Endodontista,223212,8
2018,1,223228,7016.55,Cirurgiao Dentista - Odontogeriatra,223228,1
2018,1,223232,21507.74,Cirurgiao Dentista - Odontologista Legal,223232,5
2018,1,223236,6191.29,Cirurgiao Dentista - Odontopediatra,223236,17
2018,1,223240,4782.15,Cirurgiao Dentista - Ortopedista e Ortodontista,223240,7
2018,1,223244,2184.84,Cirurgiao Dentista - Patologista Bucal,223244,1
2018,1,223248,5355.02,Cirurgiao Dentista - Periodontista,223248,4
2018,1,223252,1450,Cirurgiao Dentista - Protesiologo Bucomaxilofacial,223252,1
2018,1,223256,2351.27,Cirurgiao Dentista - Protesista,223256,3
2018,1,223260,4995.35,Cirurgiao Dentista - Radiologista,223260,1
2018,1,223268,5868.39,Cirurgiao Dentista - Traumatologista Bucomaxilofacial,223268,8
2018,1,223272,8173.39,Cirurgiao Dentista de Saude Coletiva,223272,86
2018,1,223280,6039.06,Cirurgião Dentista - Dentística,223280,72
2018,1,223284,3483.9,Cirurgião Dentista - Disfunção Temporomandibular e Dor Orofacial,223284,2
2018,1,223288,4743.83,Cirurgião Dentista - Odontologia para Pacientes com Necessidades Especiais,223288,6
2018,1,223293,10030.56,Cirurgião-Dentista da Estratégia de Saúde da Família,223293,96
2018,1,223305,8870.08,Medico Veterinario,223305,5123
2018,1,223310,8928.04,Zootecnista,223310,18
2018,1,223405,5083.86,Farmaceutico,223405,9050
2018,1,223420,4666.56,Farmaceutico de Alimentos,223420,5
2018,1,223505,5755.09,Enfermeiro,223505,35269
2018,1,223510,6796.38,Enfermeiro Auditor,223510,922
2018,1,223520,6767.67,Enfermeiro de Centro Cirurgico,223520,91
2018,1,223525,6983.36,Enfermeiro de Terapia Intensiva,223525,56
2018,1,223530,5195.83,Enfermeiro do Trabalho,223530,450
2018,1,223535,6613.26,Enfermeiro Nefrologista,223535,46
2018,1,223540,4568.6,Enfermeiro Neonatologista,223540,13
2018,1,223545,7666.93,Enfermeiro Obstetrico,223545,871
2018,1,223550,5155.89,Enfermeiro Psiquiatrico,223550,29
2018,1,223560,4555.04,Enfermeiro Sanitarista,223560,3
2018,1,223565,9563.26,Enfermeiro da Estratégia de Saúde da Família,223565,769
2018,1,223570,5398.23,Perfusionista,223570,25
2018,1,223605,4586.21,Fisioterapeuta Geral,223605,5280
2018,1,223625,3840.1,Fisioterapeuta Respiratória,223625,15
2018,1,223630,10189.21,Fisioterapeuta Neurofuncional,223630,3
2018,1,223635,2790.19,Fisioterapeuta Traumato-Ortopédica Funcional,223635,3
2018,1,223645,2483.53,Fisioterapeuta Quiropraxista,223645,2
2018,1,223650,2094.61,Fisioterapeuta Acupunturista,223650,2
2018,1,223655,3418.69,Fisioterapeuta Esportivo,223655,52
2018,1,223660,3914.55,Fisioterapeuta  do Trabalho,223660,43
2018,1,223705,4093.29,Dietista,223705,120
2018,1,223710,4188.78,Nutricionista,223710,3754
2018,1,223810,4805.79,Fonoaudiol,223810,981
2018,1,223815,3430.19,Fonoaudiologo Educacional,223815,12
2018,1,223830,3744.72,Fonoaudiologo em Linguagem,223830,1
2018,1,223845,2269.7,Fonoaudiologo em Voz,223845,1
2018,1,223905,4333.66,Terapeuta Ocupacion,223905,752
2018,1,223910,5071.39,Ortoptis,223910,37
2018,1,224105,2210.38,Avaliador Fisico,224105,1501
2018,1,224110,1323.23,Ludomotricista,224110,71
2018,1,224115,4343.99,Preparador de Atleta,224115,230
2018,1,224120,1784.42,Preparador Fisico,224120,3445
2018,1,224125,4615.37,Tecnico de Desporto Individual e Coletivo (Exceto Futebol),224125,3077
2018,1,224130,3336.64,Tecnico de Laboratorio e Fiscalizacao Desportiva,224130,54
2018,1,224135,5632.7,Treinador Profissional de Futebol,224135,276
2018,1,225103,11291.98,Médico Infectologista,225103,60
2018,1,225105,9568.16,Médico Acupunturista,225105,13
2018,1,225106,12339.46,Médico Legista,225106,506
2018,1,225109,12247.25,Médico Nefrologista,225109,37
2018,1,225110,6567.28,Médico Alergista e Imunologista,225110,7
2018,1,225112,10694.98,Médico Neurologista,225112,133
2018,1,225115,8701.81,Médico Angiologista,225115,34
2018,1,225118,10300.35,Médico Nutrologista,225118,4
2018,1,225120,15219.77,Médico Cardiologista,225120,195
2018,1,225121,26352.94,Médico Oncologista Clínico,225121,25
2018,1,225124,11859.33,Médico Pediatra,225124,1719
2018,1,225125,10077.96,Médico Clínico,225125,28163
2018,1,225127,12366.28,Médico Pneumologista,225127,39
2018,1,225130,15610.46,Médico de Família e Comunidade,225130,117
2018,1,225133,10448.18,Médico Psiquiatra,225133,397
2018,1,225135,9751.42,Médico Dermatologista,225135,56
2018,1,225136,9433.55,Médico Reumatologista,225136,51
2018,1,225139,12005.8,Médico Sanitarista,225139,20
2018,1,225140,10041.55,Médico do Trabalho,225140,962
2018,1,225142,15858.46,Médico da Estratégia de Saúde da Família,225142,589
2018,1,225148,9294.84,Médico Anatomopatologista,225148,11
2018,1,225150,13161.18,Médico em Medicina Intensiva,225150,331
2018,1,225151,11223.59,Médico Anestesiologista,225151,230
2018,1,225155,8716.74,Médico Endocrinologista e Metabologista,225155,130
2018,1,225160,5588.48,Médico Fisiatra,225160,6
2018,1,225165,15545.61,Médico Gastroenterologista,225165,37
2018,1,225170,17141.55,Médico Generalista,225170,352
2018,1,225175,8173.46,Médico Geneticista,225175,8
2018,1,225180,9853.89,Médico Geriatra,225180,40
2018,1,225185,10627.86,Médico Hematologista,225185,70
2018,1,225195,16443,Médico Homeopata,225195,14
2018,1,225203,8769.86,Médico em Cirurgia Vascular,225203,14
2018,1,225210,8157.36,Médico Cirurgião Cardiovascular,225210,66
2018,1,225215,8209.04,Médico Cirurgião de Cabeça e Pescoço,225215,10
2018,1,225220,10982.34,Médico Cirurgião do Aparelho Digestivo,225220,6
2018,1,225225,8959.4,Médico Cirurgião Geral,225225,474
2018,1,225230,9988.47,Médico Cirurgião Pediátrico,225230,52
2018,1,225235,7131.03,Médico Cirurgião Plástico,225235,35
2018,1,225240,10350.87,Médico Cirurgião Torácico,225240,14
2018,1,225250,9434,Médico Ginecologista e Obstetra,225250,480
2018,1,225255,19467.52,Médico Mastologista,225255,7
2018,1,225260,10682.92,Médico Neurocirurgião,225260,115
2018,1,225265,7627.17,Médico Oftalmologista,225265,115
2018,1,225270,9926.02,Médico Ortopedista e Traumatologista,225270,593
2018,1,225275,9822.42,Médico Otorrinolaringologista,225275,53
2018,1,225280,7875.38,Médico Coloproctologista,225280,13
2018,1,225285,8935.36,Médico Urologista,225285,78
2018,1,225290,23740.49,Médico Cancerologista Cirurgíco,225290,1
2018,1,225295,3471.26,Médico Cirurgião da Mão,225295,1
2018,1,225310,18206.12,Médico em Endoscopia,225310,45
2018,1,225320,37473.98,Médico em Radiologia e Diagnóstico por Imagem,225320,129
2018,1,225325,6136.61,Médico Patologista,225325,11
2018,1,225330,11133.87,Médico Radioterapeuta,225330,13
2018,1,225335,24981.48,Médico Patologista Clínico / Medicina Laboratorial,225335,54
2018,1,225340,19104.53,Médico Hemoterapeuta,225340,30
2018,1,225350,26881.74,Médico Neurofisiologista Clínico,225350,8
2018,1,231105,5360.35,Professor de Nivel Superior na Educacao Infantil (Quatro a Seis Anos),231105,29117
2018,1,231110,2497.54,Professor de Nivel Superior na Educacao Infantil (Zero a Tres Anos),231110,15217
2018,1,231205,4675.48,Professor da  Educacao de Jovens e Adultos do Ensino Fundamental (Primeira a Quarta Serie),231205,5134
2018,1,231210,4089.93,Professor de Nivel Superior do Ensino Fundamental (Primeira a Quarta Serie),231210,9142
2018,1,231305,5167.29,Professor de Ciencias Exatas e Naturais do Ensino Fundamental,231305,1063
2018,1,231310,3830.17,Professor de Educacao Artistica do Ensino Fundamental,231310,885
2018,1,231315,3918.34,Professor de Educacao Fisica do Ensino Fundamental,231315,1607
2018,1,231320,4341.68,Professor de Geografia do Ensino Fundamental,231320,432
2018,1,231325,4644.14,Professor de Historia do Ensino Fundamental,231325,579
2018,1,231330,5246.74,Professor de Lingua Estrangeira Moderna do Ensino Fundamental,231330,562
2018,1,231335,5622.32,Professor de Lingua Portuguesa do Ensino Fundamental,231335,783
2018,1,231340,5003.07,Professor de Matematica do Ensino Fundamental,231340,887
2018,1,232105,6286.83,Professor de Artes no Ensino Medio,232105,875
2018,1,232110,6049.43,Professor de Biologia no Ensino Medio,232110,609
2018,1,232115,6540.85,Professor de Disciplinas Pedagogicas no Ensino Medio,232115,1620
2018,1,232120,4748.9,Professor de Educacao Fisica no Ensino Medio,232120,586
