year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,total
2020,1,113015,1677.84,Membro de Lideranca Quilombola,3
2020,1,114205,7261.54,Dirigentes de Entidades de Trabalhadores,15
2020,1,114210,44812.04,Dirigentes de Entidades Patronais,1
2020,1,114305,6633.88,Dirigente e Administrador de Organizacao Religiosa,5
2020,1,114405,8605.8,Dirigente e Administrador de Organizacao da Sociedade Civil sem Fins Lucrativos,12
2020,1,121005,23518.3,Diretor de Planejamento Estrategico,162
2020,1,121010,38839.6,Diretor Geral de Empresa e Organizacoes (Exceto de Interesse Publico),484
2020,1,122105,53248.49,Diretor de Producao e Operacoes em Empresa Agropecuaria,4
2020,1,122110,18060,Diretor de Producao e Operacoes em Empresa Aquicola,1
2020,1,122115,35878.91,Diretor de Producao e Operacoes em Empresa Florestal,3
2020,1,122205,43678.04,"Diretor de Producao e Operacoes da Industria de Transformacao, Extracao Mineral e Utilidades",38
2020,1,122305,26190.47,Diretor de Operacoes de Obras Publica e Civil,53
2020,1,122405,26849.92,Diretor de Operacoes Comerciais (Comercio Atacadista e Varejista),88
2020,1,122505,27789.7,Diretor de Producao e Operacoes de Alimentacao,19
2020,1,122510,43210.39,Diretor de Producao e Operacoes de Hotel,2
2020,1,122515,11283.43,Diretor de Producao e Operacoes de Turismo,7
2020,1,122520,3352.63,Turismologo,14
2020,1,122605,7674.95,Diretor de Operacoes de Correios,5
2020,1,122610,19176.63,Diretor de Operacoes de Servicos de Armazenamento,8
2020,1,122615,21767,Diretor de Operacoes de Servicos de Telecomunicacoes,38
2020,1,122620,24378.96,Diretor de Operacoes de Servicos de Transporte,24
2020,1,122705,26680.81,Diretor Comercial em Operacoes de Intermediacao Financeira,41
2020,1,122710,43892.03,Diretor de Produtos Bancarios,70
2020,1,122720,44904.57,Diretor de Cambio e Comercio Exterior,2
2020,1,122725,21146.85,Diretor de Compliance,48
2020,1,122730,25222.22,Diretor de Credito (Exceto Credito Imobiliario),2
2020,1,122735,18666.67,Diretor de Credito Imobiliario,2
2020,1,122740,50265.02,Diretor de Leasing,2
2020,1,122745,37029.71,Diretor de Mercado de Capitais,3
2020,1,122750,32211.26,Diretor de Recuperacao de Creditos em Operacoes de Intermediacao Financeira,1
2020,1,122755,39747.08,Diretor de Riscos de Mercado,15
2020,1,123105,24362.6,Diretor Administrativo,1081
2020,1,123110,28569.38,Diretor Administrativo e Financeiro,258
2020,1,123115,37513.8,Diretor Financeiro,276
2020,1,123205,35270.53,Diretor de Recursos Humanos,161
2020,1,123210,44507,Diretor de Relacoes de Trabalho,8
2020,1,123305,35318.88,Diretor Comercial,786
2020,1,123310,33427.32,Diretor de Marketing,234
2020,1,123405,34000.4,Diretor de Suprimentos,53
2020,1,123410,9195.38,Diretor de Suprimentos no Servico Publico,2
2020,1,123605,29091.93,Diretor de Servicos de Informatica,205
2020,1,123705,33942.98,Diretor de Pesquisa e Desenvolvimento (P&D),58
2020,1,123805,26921.04,Diretor de Manutencao,34
2020,1,131105,20534.37,Diretor de Servicos Culturais,45
2020,1,131110,3340.47,Diretor de Servicos Sociais,56
2020,1,131115,6177.57,Gerente de Servicos Culturais,460
2020,1,131120,5547.47,Gerente de Servicos Sociais,211
2020,1,131205,18891.94,Diretor de Servicos de Saude,151
2020,1,131210,12083.13,Gerente de Servicos de Saude,492
2020,1,131215,7670.99,Tecnólogo em Gestão Hospitalar,6
2020,1,131305,7950.22,Diretor de Instituicao Educacional da Area Privada,437
2020,1,131310,7163.74,Diretor de Instituicao Educacional Publica,327
2020,1,131315,10403.11,Gerente de Instituicao Educacional da Area Privada,85
2020,1,131320,8094.44,Gerente de Servicos Educacionais da Area Publica,13
2020,1,141105,3768.21,Gerente de Producao e Operacoes  Aquicolas,6
2020,1,141110,16166.45,Gerente de Producao e Operacoes  Florestais,5
2020,1,141115,8369.09,Gerente de Producao e Operacoes Agropecuarias,11
2020,1,141120,3976.78,Gerente de Producao e Operacoes Pesqueiras,3
2020,1,141205,8701.64,Gerente de Producao e Operacoes,1177
2020,1,141305,10907.55,Gerente de Producao e Operacoes da Construcao Civil e Obras Publicas,522
2020,1,141405,2036.18,Comerciante Atacadista,320
2020,1,141410,2817.41,Comerciante Varejista,2288
2020,1,141415,3673.33,Gerente de Loja e Supermercado,6189
2020,1,141420,7844,Gerente de Operacoes de Servicos de Assistencia Tecnica,273
2020,1,141505,7120.61,Gerente de Hotel,139
2020,1,141510,2915.39,Gerente de Restaurante,4116
2020,1,141515,2597.6,Gerente de Bar,762
2020,1,141520,3773.35,Gerente de Pensao,7
2020,1,141525,7367.79,Gerente de Turismo,81
2020,1,141605,7353.11,Gerente de Operacoes de Transportes,351
2020,1,141610,10664.84,Gerente de Operacoes de Correios e Telecomunicacoes,70
2020,1,141615,8870.26,Gerente de Logistica (Armazenagem e Distribuicao),660
2020,1,141705,16563.61,Gerente de Produtos Bancarios,544
2020,1,141710,11394.09,Gerente de Agencia,467
2020,1,141715,10565.47,Gerente de Cambio e Comercio Exterior,70
2020,1,141720,11427.97,Gerente de Credito e Cobranca,182
2020,1,141725,10871.15,Gerente de Credito Imobiliario,22
2020,1,141730,13147.21,Gerente de Credito Rural,1
2020,1,141735,9492.94,Gerente de Recuperacao de Credito,34
2020,1,142105,9562.25,Gerente Administrativo,8065
2020,1,142110,11840.76,Gerente de Riscos,618
2020,1,142115,12717.42,Gerente Financeiro,1603
2020,1,142120,5017.64,Tecnólogo em Gestão Administrativo- Financeira,50
2020,1,142205,12191.34,Gerente de Recursos Humanos,1423
2020,1,142210,6424.6,Gerente de Departamento Pessoal,493
2020,1,142305,8971.27,Gerente Comercial,6033
2020,1,142310,10487.39,Gerente de Comunicacao,746
2020,1,142315,12398.93,Gerente de Marketing,2823
2020,1,142320,12822.77,Gerente de Vendas,5337
2020,1,142325,5538.29,Relacoes Publicas (A),556
2020,1,142330,6219.23,Analista de Negocios (A),6623
2020,1,142335,4977.59,Analista de Pesquisa de Mercado (A),5151
2020,1,142340,5025.29,Ouvidor,66
2020,1,142405,10190.22,Gerente de Compras,632
2020,1,142410,12729.21,Gerente de Suprimentos,220
2020,1,142415,4902.06,Gerente de Almoxarifado,68
2020,1,142505,13963.96,Gerente de Rede,305
2020,1,142510,14929.51,Gerente de Desenvolvimento de Sistemas,717
2020,1,142515,15364.05,Gerente de Producao de Tecnologia da Informacao,424
2020,1,142520,12616.79,Gerente de Projetos de Tecnologia da Informacao,1421
2020,1,142525,15254.69,Gerente de Seguranca de Tecnologia da Informacao,113
2020,1,142530,11237.85,Gerente de Suporte Tecnico de Tecnologia da Informacao,338
2020,1,142535,6488.11,Tecnólogo em Gestão da Tecnologia da Informação,173
2020,1,142605,14097.51,Gerente de Pesquisa e Desenvolvimento (P&D),1108
2020,1,142610,8282.17,Especialista em Desenvolvimento de Cigarros,1
2020,1,142705,9156.05,Gerente de Projetos e Servicos de Manutencao,910
2020,1,142710,5055.34,Tecnólogo em Sistemas Biomédicos,29
2020,1,201105,9271.31,Bioengenheiro,3
2020,1,201110,3188.95,Biotecnologista,52
2020,1,201115,4685.97,Geneticista,1
2020,1,201205,2393.31,Pesquisador em Metrologia,1
2020,1,201210,3391.55,Especialista em Calibracoes Metrologicas,21
2020,1,201215,2116.93,Especialista em Ensaios Metrologicos,3
2020,1,201225,8649.71,Especialista em Materiais de Referencia Metrologica,10
2020,1,202105,13201.71,Engenheiro Mecatronico,15
2020,1,202110,7644.23,Engenheiro de Controle  e Automacao,46
2020,1,202115,3844.38,Tecnologo em Mecatronica,9
2020,1,203005,3642.03,Pesquisador em Biologia Ambiental,2
2020,1,203015,4460.74,Pesquisador em Biologia de Microorganismos e Parasitas,6
2020,1,203020,13343.96,Pesquisador em Biologia Humana,27
2020,1,203025,11799.8,Pesquisador em Biologia Vegetal,64
2020,1,203105,6536.41,Pesquisador em Ciencias da Computacao e Informatica,32
2020,1,203110,5492.58,Pesquisador em Ciencias da Terra e Meio Ambiente,5
2020,1,203120,3689.95,Pesquisador em Matematica,1
2020,1,203125,8303.11,Pesquisador em Quimica,12
2020,1,203205,6315.81,Pesquisador de Engenharia Civil,10
2020,1,203210,10219.13,Pesquisador de Engenharia e Tecnologia (Outras Areas da Engenharia),199
2020,1,203215,11566.25,Pesquisador de Engenharia Eletrica e Eletronica,15
2020,1,203220,4540.21,Pesquisador de Engenharia Mecanica,31
2020,1,203225,9147.19,"Pesquisador de Engenharia Metalurgica, de Minas e de Materiais",11
2020,1,203230,7935.57,Pesquisador de Engenharia Quimica,8
2020,1,203305,8223.93,Pesquisador de Clinica Medica,226
2020,1,203310,11096.09,Pesquisador de Medicina Basica,15
2020,1,203315,5211.35,Pesquisador em Medicina Veterinaria,6
2020,1,203320,7937.98,Pesquisador em Saude Coletiva,82
2020,1,203405,8977.86,Pesquisador em Ciencias Agronomicas,9
2020,1,203505,5834.18,Pesquisador em Ciencias Sociais e Humanas,48
