year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,total
2021,1,114405,1053.44,Dirigente e Administrador de Organizacao da Sociedade Civil sem Fins Lucrativos,1
2021,1,121005,17111.71,Diretor de Planejamento Estrategico,4
2021,1,121010,19415.76,Diretor Geral de Empresa e Organizacoes (Exceto de Interesse Publico),22
2021,1,122205,22083.33,"Diretor de Producao e Operacoes da Industria de Transformacao, Extracao Mineral e Utilidades",2
2021,1,122305,11168.5,Diretor de Operacoes de Obras Publica e Civil,1
2021,1,122405,10659.06,Diretor de Operacoes Comerciais (Comercio Atacadista e Varejista),1
2021,1,122605,1849.02,Diretor de Operacoes de Correios,1
2021,1,122620,2147.46,Diretor de Operacoes de Servicos de Transporte,1
2021,1,122705,29749.78,Diretor Comercial em Operacoes de Intermediacao Financeira,2
2021,1,122725,3339.99,Diretor de Compliance,2
2021,1,122745,51828.65,Diretor de Mercado de Capitais,2
2021,1,122755,34148.17,Diretor de Riscos de Mercado,3
2021,1,123105,25963.22,Diretor Administrativo,33
2021,1,123110,26315.64,Diretor Administrativo e Financeiro,8
2021,1,123115,20091.11,Diretor Financeiro,10
2021,1,123205,34707,Diretor de Recursos Humanos,4
2021,1,123210,18150,Diretor de Relacoes de Trabalho,1
2021,1,123305,29901.24,Diretor Comercial,34
2021,1,123310,17673.72,Diretor de Marketing,8
2021,1,123405,34304.93,Diretor de Suprimentos,3
2021,1,123605,25408.63,Diretor de Servicos de Informatica,11
2021,1,123705,18062.06,Diretor de Pesquisa e Desenvolvimento (P&D),2
2021,1,131105,20509.59,Diretor de Servicos Culturais,2
2021,1,131110,2497.49,Diretor de Servicos Sociais,6
2021,1,131115,3909.32,Gerente de Servicos Culturais,8
2021,1,131120,7253.31,Gerente de Servicos Sociais,11
2021,1,131205,24096.42,Diretor de Servicos de Saude,3
2021,1,131210,7772.56,Gerente de Servicos de Saude,14
2021,1,131305,4399.23,Diretor de Instituicao Educacional da Area Privada,15
2021,1,131310,3249.8,Diretor de Instituicao Educacional Publica,3
2021,1,131315,11927.02,Gerente de Instituicao Educacional da Area Privada,2
2021,1,141110,15401.03,Gerente de Producao e Operacoes  Florestais,1
2021,1,141205,6863.71,Gerente de Producao e Operacoes,58
2021,1,141305,8103.32,Gerente de Producao e Operacoes da Construcao Civil e Obras Publicas,31
2021,1,141405,1361.45,Comerciante Atacadista,19
2021,1,141410,2492.06,Comerciante Varejista,94
2021,1,141415,3330.9,Gerente de Loja e Supermercado,324
2021,1,141420,5143.88,Gerente de Operacoes de Servicos de Assistencia Tecnica,8
2021,1,141505,3244.09,Gerente de Hotel,3
2021,1,141510,2628.51,Gerente de Restaurante,230
2021,1,141515,1870.13,Gerente de Bar,42
2021,1,141525,3804.23,Gerente de Turismo,1
2021,1,141605,10039.61,Gerente de Operacoes de Transportes,20
2021,1,141610,3190.15,Gerente de Operacoes de Correios e Telecomunicacoes,4
2021,1,141615,4423.61,Gerente de Logistica (Armazenagem e Distribuicao),64
2021,1,141705,13325.29,Gerente de Produtos Bancarios,17
2021,1,141710,10593.33,Gerente de Agencia,49
2021,1,141720,11806.09,Gerente de Credito e Cobranca,5
2021,1,142105,8245.47,Gerente Administrativo,284
2021,1,142110,6720.29,Gerente de Riscos,33
2021,1,142115,10318.91,Gerente Financeiro,51
2021,1,142205,9282.04,Gerente de Recursos Humanos,79
2021,1,142210,5416.99,Gerente de Departamento Pessoal,18
2021,1,142305,7182.26,Gerente Comercial,308
2021,1,142310,8025.07,Gerente de Comunicacao,44
2021,1,142315,10263.86,Gerente de Marketing,125
2021,1,142320,11564.69,Gerente de Vendas,198
2021,1,142325,4636.03,Relacoes Publicas (A),30
2021,1,142330,5166.47,Analista de Negocios (A),509
2021,1,142335,4414.43,Analista de Pesquisa de Mercado (A),445
2021,1,142340,2625.17,Ouvidor,6
2021,1,142405,8013.93,Gerente de Compras,12
2021,1,142410,10553.48,Gerente de Suprimentos,11
2021,1,142415,7025.25,Gerente de Almoxarifado,1
2021,1,142505,9005.3,Gerente de Rede,12
2021,1,142510,14459.23,Gerente de Desenvolvimento de Sistemas,49
2021,1,142515,11148.06,Gerente de Producao de Tecnologia da Informacao,15
2021,1,142520,9750.33,Gerente de Projetos de Tecnologia da Informacao,107
2021,1,142525,18544.69,Gerente de Seguranca de Tecnologia da Informacao,5
2021,1,142530,8107.18,Gerente de Suporte Tecnico de Tecnologia da Informacao,15
2021,1,142535,6503.96,Tecnólogo em Gestão da Tecnologia da Informação,6
2021,1,142605,13978.66,Gerente de Pesquisa e Desenvolvimento (P&D),60
2021,1,142705,6067.27,Gerente de Projetos e Servicos de Manutencao,33
2021,1,202105,8425.81,Engenheiro Mecatronico,2
2021,1,202110,1264.26,Engenheiro de Controle  e Automacao,1
2021,1,202115,1211.63,Tecnologo em Mecatronica,2
2021,1,203020,9489.44,Pesquisador em Biologia Humana,3
2021,1,203105,7533.98,Pesquisador em Ciencias da Computacao e Informatica,6
2021,1,203120,2816.66,Pesquisador em Matematica,1
2021,1,203125,12215.21,Pesquisador em Quimica,2
2021,1,203205,4409.09,Pesquisador de Engenharia Civil,1
2021,1,203210,8791.09,Pesquisador de Engenharia e Tecnologia (Outras Areas da Engenharia),64
2021,1,203220,3793.54,Pesquisador de Engenharia Mecanica,1
2021,1,203230,6648.48,Pesquisador de Engenharia Quimica,2
2021,1,203305,8197.7,Pesquisador de Clinica Medica,20
2021,1,203310,8680.08,Pesquisador de Medicina Basica,1
2021,1,203315,3746.76,Pesquisador em Medicina Veterinaria,3
2021,1,203320,2119.89,Pesquisador em Saude Coletiva,1
2021,1,203505,4308.93,Pesquisador em Ciencias Sociais e Humanas,4
2021,1,203510,2713.33,Pesquisador em Economia,1
2021,1,211105,6381.78,Atuario,6
2021,1,211110,6403.87,Especialista em Pesquisa Operacional,6
2021,1,211120,38088,Matematico Aplicado,2
2021,1,211205,7989.26,Estatistico,24
2021,1,211210,12543.75,Estatistico (Estatistica Aplicada),1
2021,1,212205,11225.59,Engenheiro de Aplicativos em Computacao,41
2021,1,212215,11262.52,Engenheiros de Sistemas Operacionais em Computacao,44
2021,1,212305,7813.67,Administrador de Banco de Dados,36
2021,1,212310,9373.87,Administrador de Redes,15
2021,1,212315,6412.99,Administrador de Sistemas Operacionais,50
2021,1,212320,6365.12,Administrador em Segurança da Informação,40
2021,1,212405,6794.85,Analista de Desenvolvimento de Sistemas,1075
2021,1,212410,4631.89,Analista de Redes e de Comunicacao de Dados,159
2021,1,212415,5067.4,Analista de Sistemas de Automacao,35
2021,1,212420,3643.53,Analista de Suporte Computacional,445
2021,1,213145,6460.6,Fisico (Materiais),1
2021,1,213205,3112.66,Quimico,1
2021,1,213315,3906.88,Meteorologista,1
2021,1,214005,6438.73,Engenheiro Ambiental,2
2021,1,214010,2535.77,Tecnólogo em Meio Ambiente,1
2021,1,214105,5331.86,Arquiteto de Edificacoes,16
2021,1,214110,4768.02,Arquiteto de Interiores,6
2021,1,214120,3019.89,Arquiteto Paisagista,2
2021,1,214125,4101.24,Arquiteto Urbanista,2
