date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
13/12/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
27/12/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
15/07/2021,2021,3,2500000,120,1,1,2,3,20833.33333,1800,1.208383706,1,0,1,1,1,2.9554989,59.7,11,0.37
16/07/2021,2021,3,2500000,120,1,1,2,3,20833.33333,1800,1.208383706,1,0,1,1,1,2.9554989,59.7,11,0.37
11/04/2021,2021,2,1390000,70,1,1,2,1,19857.14286,980,1.763807945,1,0,1,1,1,1.0646727,67.9375,1,0.334
24/10/2021,2021,4,2280000,115,2,2,3,2,19826.08696,980,0.603587762,1,1,1,1,1,5.1317085,66.3125,3,0.17
27/10/2021,2021,4,2280000,115,2,2,3,2,19826.08696,980,0.603587762,1,1,1,1,1,5.1317085,66.3125,3,0.17
19/01/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
26/01/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
02/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
09/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
16/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
23/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
02/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
09/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
16/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
23/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
30/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
10/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
11/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
17/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
23/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
24/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
01/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
03/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
10/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
