quarter,year,date,area_m2,bedrooms,suite,bathrooms,garage,price_real_month,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
1,2018,27/01/2018,45,1,0,1,1,269500,5988.89,210,0.676751777,,,,,,6.6528045,57.75,21,0.32
1,2018,09/01/2018,46,2,0,1,1,251299,5463.02,,1.175832144,,,,,,7.125044,57.46875,22,0.186
1,2018,16/01/2018,46,1,,1,,322000,7000,318,0.341514161,,,,,,4.8177349,70.0625,6,0.079
1,2018,31/01/2018,46,1,1,1,1,482999,10499.98,454,0.405223866,,,,,,4.1396075,75.40625,2,0.093
1,2018,12/01/2018,46,2,0,1,2,525000,11413.04,489,0.171074513,,,,,,5.0255007,68.96875,7,0.135
1,2018,18/01/2018,47,2,0,1,1,248499,5287.21,0,1.10832386,,,,,,15.3293106,54.40625,28,0.054
1,2018,16/01/2018,47,1,1,1,1,350000,7446.81,258,0.635191498,,,,,,5.1736132,67.75,8,0.099
1,2018,16/01/2018,48,1,1,1,,244999,5104.15,315,0.57736428,,,,,,5.9103422,59.59375,19,0.115
1,2018,18/01/2018,48,2,0,1,1,266000,5541.67,255,1.101190203,,,,,,14.0939672,62.71875,14,0.069
1,2018,07/01/2018,48,2,0,1,1,453600,9450,0,0.425074787,,,,,,4.7671303,78.21875,1,0.066
1,2018,16/01/2018,48,2,0,1,1,251999,5249.98,251,1.8905829,,,,,,7.3702637,37.625,78,0.054
1,2018,30/01/2018,48,1,1,2,1,397600,8283.33,341,1.955666878,,,,,,1.1709216,61.78125,15,0.174
1,2018,10/01/2018,49,1,1,1,1,269500,5500,385,1.242421003,,,,,,7.34164,37.625,78,0.054
1,2018,17/01/2018,50,1,0,1,1,328300,6566,364,0.564211203,,,,,,7.116472,66.96875,9,0.102
1,2018,23/01/2018,50,1,0,1,1,303800,6076,268,1.137790585,,,,,,3.4686434,71.0625,4,0.087
1,2018,31/01/2018,50,2,0,1,1,278600,5572,348,1.946042341,,,,,,12.5488582,54.6875,26,0.049
1,2018,19/01/2018,50,2,0,1,0,258999,5179.98,315,0.327958573,,,,,,4.7773491,71.21875,3,0.095
1,2018,09/01/2018,50,2,0,1,1,276500,5530,280,0.358104514,,,,,,13.7454299,54.40625,28,0.054
1,2018,23/01/2018,50,2,0,1,1,269500,5390,525,0.749323255,,,,,,5.5272528,53.75,29,0.075
1,2018,12/01/2018,50,1,0,2,1,296800,5936,559,0.755207778,,,,,,3.80273,75.40625,2,0.093
1,2018,16/01/2018,50,1,0,1,2,517999,10359.98,0,1.132608962,,,,,,4.0187051,68.96875,7,0.135
1,2018,12/01/2018,50,2,,1,1,258999,5179.98,266,0.498271744,,,,,,10.2842358,63.03125,13,0.047
1,2018,30/01/2018,50,2,1,2,1,267120,5342.4,412,2.199714963,,,,,,10.5358722,54.6875,26,0.049
1,2018,16/01/2018,50,1,0,1,1,405825,8116.5,0,0.482899151,,,,,,7.0983994,64.3125,11,0.087
1,2018,30/01/2018,51,2,1,2,1,455000,8921.57,0,0.484844345,,,,,,3.4968461,61.78125,15,0.174
1,2018,10/01/2018,52,1,0,1,1,468999,9019.21,525,1.065196204,,,,,,3.6977859,61.78125,15,0.174
1,2018,11/01/2018,52,2,0,2,1,288400,5546.15,0,0.411658062,,,,,,7.9582713,44.5,56,0.046
1,2018,03/01/2018,52,2,,1,2,315000,6057.69,305,0.861298408,,,,,,9.9525317,63.03125,13,0.047
1,2018,23/01/2018,53,2,1,1,1,280000,5283.02,224,4.190908638,,,,,,7.8057981,51.5,33,0.071
1,2018,23/01/2018,53,2,1,2,1,315000,5943.4,273,3.736055185,,,,,,7.1541129,51.5,33,0.071
