date;area_m2;bedrooms;suite;bathrooms;garage;price_real_month;price_m2;condo_real;metro_dist_km;gym;field_quadra;elevator;furnished;swimming_pool;delta_cbd_farialima;inequality_meter;inequality_rank;teleworkable
12/05/2019;30;1;1;1;1;3000;100;0;0.971051422;0;0;0;0;0;3.26611739;65.76666667;6;0.183
22/03/2019;35;1;1;1;1;4600;131.4285714;0;0.971051422;0;0;0;0;0;3.26611739;65.76666667;6;0.201
14/02/2019;35;1;0;1;1;2100;60;0;0.350397954;;;;;;4.33151493;66.15625;4;0.213
08/02/2019;215;2;1;2;2;4900;22.79069767;1014;0.346887421;;;;;;4.3091947;66.15625;4;0.213
28/11/2018;30;1;1;1;1;1400;46.66666667;770;1.211717573;;;;;;3.010726457;75.40625;2;0.173
14/02/2019;30;1;1;1;1;1526;50.86666667;770;1.211717573;;;;;;3.010726457;65.76666667;6;0.201
15/09/2018;30;1;1;1;1;1526;50.86666667;770;1.211717573;;;;;;3.010726457;75.40625;2;0.112
17/12/2018;30;1;1;1;1;2170;72.33333333;0;1.211717573;;;;;;3.010726457;75.40625;2;0.173
08/07/2021;110;3;0;3;1;3200;29.09090909;0;1.246159844;0;0;0;0;0;2.980047656;59.7;11;0.37
09/04/2018;45;1;0;1;1;1680;37.33333333;840;0.277001255;;;;;;4.148552005;67.75;8;0.251
20/12/2018;48;1;1;1;1;2240;46.66666667;639;0.338167314;;;;;;3.984062669;75.40625;2;0.173
07/12/2018;48;1;0;1;1;3150;65.625;770;0.338167314;;;;;;3.984062669;75.40625;2;0.173
05/04/2019;40;1;0;1;1;3300;82.5;900;0.338167314;0;0;0;0;0;3.984062669;65.76666667;6;0.183
06/02/2018;30;1;1;1;1;979;32.63333333;979;0.379925488;;;;;;3.904299363;75.40625;2;0.093
18/10/2018;29;1;1;1;1;987;34.03448276;1112;0.379925488;;;;;;3.904299363;75.40625;2;0.173
02/02/2019;30;1;0;1;1;1066;35.53333333;875;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
29/01/2018;30;1;1;1;1;1120;37.33333333;909;0.379925488;;;;;;3.904299363;75.40625;2;0.093
13/11/2018;35;1;1;1;1;1540;44;770;0.379925488;;;;;;3.904299363;75.40625;2;0.173
27/10/2018;27;1;1;1;1;1190;44.07407407;875;0.379925488;;;;;;3.904299363;75.40625;2;0.173
19/10/2018;28;1;0;1;1;1281;45.75;926;0.379925488;;;;;;3.904299363;75.40625;2;0.173
23/11/2018;30;1;1;1;0;1470;49;964;0.379925488;;;;;;3.904299363;75.40625;2;0.173
18/02/2019;35;1;1;1;1;1750;50;770;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
21/06/2018;35;1;0;1;1;1771;50.6;770;0.379925488;;;;;;3.904299363;75.40625;2;0.266
21/02/2019;29;1;0;1;1;1470;50.68965517;630;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
13/09/2018;29;1;1;1;1;1470;50.68965517;630;0.379925488;;;;;;3.904299363;75.40625;2;0.112
21/12/2018;29;1;1;1;1;1470;50.68965517;630;0.379925488;;;;;;3.904299363;75.40625;2;0.173
13/09/2018;29;1;1;1;1;1484;51.17241379;630;0.379925488;;;;;;3.904299363;75.40625;2;0.112
21/06/2018;35;1;0;1;1;1809;51.68571429;770;0.379925488;;;;;;3.904299363;75.40625;2;0.266
13/09/2018;29;1;1;1;1;1500;51.72413793;630;0.379925488;;;;;;3.904299363;75.40625;2;0.112
21/01/2019;35;1;1;1;1;1819;51.97142857;770;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
22/11/2018;35;1;1;1;1;1819;51.97142857;770;0.379925488;;;;;;3.904299363;75.40625;2;0.173
17/12/2018;35;1;1;1;1;1819;51.97142857;770;0.379925488;;;;;;3.904299363;75.40625;2;0.173
21/06/2018;35;1;0;1;1;1823;52.08571429;770;0.379925488;;;;;;3.904299363;75.40625;2;0.266
03/08/2018;29;1;1;1;1;1526;52.62068966;630;0.379925488;;;;;;3.904299363;75.40625;2;0.112
01/11/2018;29;1;1;1;1;1526;52.62068966;630;0.379925488;;;;;;3.904299363;75.40625;2;0.173
14/02/2019;28;1;0;1;1;1491;53.25;926;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
30/01/2019;35;1;1;1;1;1889;53.97142857;770;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
18/03/2020;29;1;1;1;1;1600;55.17241379;1400;0.379925488;1;1;1;1;1;3.904299363;56.03125;21;0.22
21/06/2018;33;1;0;1;1;1833;55.54545455;770;0.379925488;;;;;;3.904299363;75.40625;2;0.266
24/01/2019;30;1;0;1;1;1889;62.96666667;700;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
17/07/2018;30;1;0;1;1;1959;65.3;560;0.379925488;;;;;;3.904299363;75.40625;2;0.112
13/02/2019;38;1;0;1;1;2590;68.15789474;0;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
02/06/2019;29;1;0;1;1;2030;70;0;0.379925488;0;0;0;0;0;3.904299363;65.76666667;6;0.183
03/01/2019;29;1;1;1;1;2100;72.4137931;900;0.379925488;1;1;1;1;1;3.904299363;65.76666667;6;0.201
22/02/2019;29;1;0;1;1;2100;72.4137931;0;0.379925488;0;0;0;0;0;3.904299363;65.76666667;6;0.201
01/03/2019;29;1;0;1;1;2100;72.4137931;0;0.379925488;0;0;0;0;0;3.904299363;65.76666667;6;0.201
19/05/2019;29;1;0;1;1;2100;72.4137931;0;0.379925488;0;0;0;0;0;3.904299363;65.76666667;6;0.183
11/01/2019;35;1;0;1;1;2590;74;0;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
16/01/2018;30;1;0;1;1;2380;79.33333333;0;0.379925488;;;;;;3.904299363;75.40625;2;0.093
14/11/2018;30;1;0;1;1;2380;79.33333333;0;0.379925488;;;;;;3.904299363;75.40625;2;0.173
11/01/2019;27;1;0;1;1;2590;95.92592593;0;0.379925488;;;;;;3.904299363;65.76666667;6;0.201
09/10/2018;35;1;1;1;1;884;25.25714286;1105;0.508338427;;;;;;3.789444756;75.40625;2;0.173
05/05/2020;34;1;1;1;1;1000;29.41176471;1500;0.508338427;0;0;0;1;1;3.789444756;56.03125;21;0.206
05/01/2018;35;1;0;1;1;1120;32;0;0.508338427;0;0;0;0;0;3.789444756;75.40625;2;0.093
01/11/2018;34;1;0;1;1;1095;32.20588235;584;0.508338427;;;;;;3.789444756;75.40625;2;0.173
03/01/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.201
01/01/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.22
01/01/2021;36;1;0;1;1;1200;33.33333333;0;0.508338427;0;0;0;0;0;3.789444756;59.7;11;0.233
07/02/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.201
05/02/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.22
02/02/2021;36;1;0;1;1;1200;33.33333333;0;0.508338427;0;0;0;0;0;3.789444756;59.7;11;0.233
01/03/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.201
04/03/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.22
02/03/2021;36;1;0;1;1;1200;33.33333333;0;0.508338427;0;0;0;0;0;3.789444756;59.7;11;0.233
05/04/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.183
01/04/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.206
10/04/2021;36;1;0;1;1;1200;33.33333333;0;0.508338427;0;0;0;0;0;3.789444756;59.7;11;0.222
05/05/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.183
05/05/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.206
